SubjectArea,Subject,SubjectStreamCode,SubjectStreamName,Band,Unit,UnitASCode,AreaofStudy,Outcome,OutcomeCode,ExampleType,ContentType,ExampleText,ParentText,URLTitle,URL,Sequence
Health and Physical Education,PE,,,Year 11,Unit 1,VCEPEU1AS1,Area of Study 1 - How does the musculoskeletal system work to produce movement?,Outcome 1,VCEPEU1AS1O1KK,Activity,Bullet,Muscle Anatomy Game,Use a web-based interactive labelling activity to revise the major bones and muscles of the human body such as,,,10
Health and Physical Education,PE,,,Year 11,Unit 1,VCEPEU1AS1,Area of Study 1 - How does the musculoskeletal system work to produce movement?,Outcome 1,VCEPEU1AS1O1KK,Activity,Bullet,Muscles of the Human Body,Use a web-based interactive labelling activity to revise the major bones and muscles of the human body such as,,,11
Health and Physical Education,PE,,,Year 11,Unit 1,VCEPEU1AS1,Area of Study 1 - How does the musculoskeletal system work to produce movement?,Outcome 1,VCEPEU1AS1O1KK,Activity,Bullet,Anatomy archade,Use a web-based interactive labelling activity to revise the major bones and muscles of the human body such as,,,12
Health and Physical Education,PE,,,Year 11,Unit 1,VCEPEU1AS1,Area of Study 1 - How does the musculoskeletal system work to produce movement?,Outcome 1,VCEPEU1AS1O1KK,Activity,Bullet,Complete a 100m sprint and a 20-minute continuous run and use these activities as a context to create a Venn diagram that compares the characteristics of fast and slow twitch muscle fibres,,,,13
Health and Physical Education,PE,,,Year 11,Unit 1,VCEPEU1AS1,Area of Study 1 - How does the musculoskeletal system work to produce movement?,Outcome 1,VCEPEU1AS1O1KK,Activity,Bullet,"Develop and perform a series of resistance training exercises that covers 10 of the main muscle groups in the body using concentric, eccentric and isometric muscular actions",,,,14
Health and Physical Education,PE,,,Year 11,Unit 1,VCEPEU1AS1,Area of Study 1 - How does the musculoskeletal system work to produce movement?,Outcome 1,VCEPEU1AS1O1KK,Activity,Bullet,"Design a cartoon, song, animation or diagram to explain the role of agonists, antagonists and stabilisers",,,,15
Health and Physical Education,PE,,,Year 11,Unit 1,VCEPEU1AS1,Area of Study 1 - How does the musculoskeletal system work to produce movement?,Outcome 1,VCEPEU1AS1O1KK,Activity,Bullet,Create a video to show the activation of a motor unit by creating a model of a motor unit using plasticine to show how this creates movement,,,,16
Health and Physical Education,PE,,,Year 11,Unit 1,VCEPEU1AS1,Area of Study 1 - How does the musculoskeletal system work to produce movement?,Outcome 1,VCEPEU1AS1O1KK,Activity,Bullet,"Investigate the production of force and the relationship between motor unit recruitment and activation in a variety of practical activities, e.g. kicking a soccer ball for distance versus trying to hit a small target, throwing from the boundary in cricket versus a game of Cornhole, hitting a line drive versus a bunt in softball",,,,17
Health and Physical Education,PE,,,Year 11,Unit 1,VCEPEU1AS1,Area of Study 1 - How does the musculoskeletal system work to produce movement?,Outcome 1,VCEPEU1AS1O1KK,Activity,Bullet,"Construct a model using household items to demonstrate how muscles pull on bones to create movement; create three models with the axis, force and resistance labelled on each to demonstrate each class of lever",,,,18
Health and Physical Education,PE,,,Year 11,Unit 1,VCEPEU1AS1,Area of Study 1 - How does the musculoskeletal system work to produce movement?,Outcome 1,VCEPEU1AS1O1KK,Activity,Bullet,"Undertake a round of fundamental movement skill stations and following this, sketch each key skill being performed to label the third-class anatomical lever and discuss sports that utilise these third-class levers",,,,19
Health and Physical Education,PE,,,Year 11,Unit 1,VCEPEU1AS1,Area of Study 1 - How does the musculoskeletal system work to produce movement?,Outcome 1,VCEPEU1AS1O1KK,Activity,Bullet,Investigate acute and/or chronic musculoskeletal injuries in sport and the contributing factors and present findings as an oral presentation,,,,20
Health and Physical Education,PE,,,Year 11,Unit 1,VCEPEU1AS1,Area of Study 1 - How does the musculoskeletal system work to produce movement?,Outcome 1,VCEPEU1AS1O1KK,Activity,Bullet,Research the perceived and actual benefits of including a stretching routine in a warm up to prevent musculoskeletal injuries,,,,21
Health and Physical Education,PE,,,Year 11,Unit 1,VCEPEU1AS1,Area of Study 1 - How does the musculoskeletal system work to produce movement?,Outcome 1,VCEPEU1AS1O1KS,Activity,Bullet,"Brainstorm and describe the application of different physical aids that are used in sports to support the musculoskeletal system; sports could include Australian rules football, squash, gridiron, basketball, boxing, motor sports and cricket",,,,22
Health and Physical Education,PE,,,Year 11,Unit 1,VCEPEU1AS1,Area of Study 1 - How does the musculoskeletal system work to produce movement?,Outcome 1,VCEPEU1AS1O1KS,Activity,Bullet,"Participate in a resistance training session; compare the outcomes of resistance training to the use of performance enhancing methods (i.e. creatine supplementation, steroids, growth hormone) by conducting a debate to identify the similarities and differences between the benefits and potential harms of each method",,,,23
Health and Physical Education,PE,,,Year 11,Unit 1,VCEPEU1AS1,Area of Study 1 - How does the musculoskeletal system work to produce movement?,Outcome 1,VCEPEU1AS1O1KS,Activity,Bullet,"Compare and contrast protein powders, CHO gels and sports drinks as performance enhancing methods",,,,24
Health and Physical Education,PE,,,Year 11,Unit 1,VCEPEU1AS1,Area of Study 1 - How does the musculoskeletal system work to produce movement?,Outcome 1,VCEPEU1AS1O1KK,DetailedExample,Paragraph,"TO STRETCH OR NOT TO STRETCH, THAT IS THE QUESTION",,,,25
Health and Physical Education,PE,,,Year 11,Unit 1,VCEPEU1AS1,Area of Study 1 - How does the musculoskeletal system work to produce movement?,Outcome 1,VCEPEU1AS1O1KK,DetailedExampleStep,Paragraph,Task,,,,26
Health and Physical Education,PE,,,Year 11,Unit 1,VCEPEU1AS1,Area of Study 1 - How does the musculoskeletal system work to produce movement?,Outcome 1,VCEPEU1AS1O1KK,DetailedExampleStep,Paragraph,Students research the perceived and actual benefits of including a stretching routine in a warm up to prevent musculoskeletal injuries.,,,,27
Health and Physical Education,PE,,,Year 11,Unit 1,VCEPEU1AS1,Area of Study 1 - How does the musculoskeletal system work to produce movement?,Outcome 1,VCEPEU1AS1O1KK,DetailedExampleStep,Paragraph,Practical activity,,,,28
Health and Physical Education,PE,,,Year 11,Unit 1,VCEPEU1AS1,Area of Study 1 - How does the musculoskeletal system work to produce movement?,Outcome 1,VCEPEU1AS1O1KK,DetailedExampleStep,Paragraph,"Students perform, in order:",,,,29
Health and Physical Education,PE,,,Year 11,Unit 1,VCEPEU1AS1,Area of Study 1 - How does the musculoskeletal system work to produce movement?,Outcome 1,VCEPEU1AS1O1KK,DetailedExampleStep,Bullet,A traditional warm up (jogging around the oval/gym followed by stretching the major muscles of the body),,,,30
Health and Physical Education,PE,,,Year 11,Unit 1,VCEPEU1AS1,Area of Study 1 - How does the musculoskeletal system work to produce movement?,Outcome 1,VCEPEU1AS1O1KK,DetailedExampleStep,Bullet,A 20-minute continuous run,,,,31
Health and Physical Education,PE,,,Year 11,Unit 1,VCEPEU1AS1,Area of Study 1 - How does the musculoskeletal system work to produce movement?,Outcome 1,VCEPEU1AS1O1KK,DetailedExampleStep,Bullet,"A 20-minute resistance circuit (sit-ups, lunges, push-ups, triceps dips, squats, plank, suicide sprints and Turkish get ups)",,,,32
Health and Physical Education,PE,,,Year 11,Unit 1,VCEPEU1AS1,Area of Study 1 - How does the musculoskeletal system work to produce movement?,Outcome 1,VCEPEU1AS1O1KK,DetailedExampleStep,Bullet,"A cool down (5-minute walk, followed by a stretch of the major muscles of the body).",,,,33
Health and Physical Education,PE,,,Year 11,Unit 1,VCEPEU1AS1,Area of Study 1 - How does the musculoskeletal system work to produce movement?,Outcome 1,VCEPEU1AS1O1KK,DetailedExampleStep,Paragraph,Reflection,,,,34
Health and Physical Education,PE,,,Year 11,Unit 1,VCEPEU1AS1,Area of Study 1 - How does the musculoskeletal system work to produce movement?,Outcome 1,VCEPEU1AS1O1KK,DetailedExampleStep,Paragraph,Students record how they feel in terms of muscle soreness over the following one and two days after the exercise. Discuss as a class what factors may contribute to different people feeling different degrees of muscular soreness.,,,,35
Health and Physical Education,PE,,,Year 11,Unit 1,VCEPEU1AS1,Area of Study 1 - How does the musculoskeletal system work to produce movement?,Outcome 1,VCEPEU1AS1O1KK,DetailedExampleStep,Paragraph,Research task,,,,36
Health and Physical Education,PE,,,Year 11,Unit 1,VCEPEU1AS1,Area of Study 1 - How does the musculoskeletal system work to produce movement?,Outcome 1,VCEPEU1AS1O1KK,DetailedExampleStep,Paragraph,Students investigate the causes of muscular soreness post exercise and the perceived benefits of including stretching as part of a warm up prior to undertaking physical activity.,,,,37
Health and Physical Education,PE,,,Year 11,Unit 1,VCEPEU1AS1,Area of Study 1 - How does the musculoskeletal system work to produce movement?,Outcome 1,VCEPEU1AS1O1KK,DetailedExampleStep,Paragraph,"Using a cause-and-effect graphic organiser such as a fishbone graphic or flow chart, students summarise the causes of muscular soreness post exercise and the impact of a warm up and stretching on muscular soreness.",,,,38
Health and Physical Education,PE,,,Year 11,Unit 1,VCEPEU1AS1,Area of Study 1 - How does the musculoskeletal system work to produce movement?,Outcome 1,VCEPEU1AS1O1KK,DetailedExampleStep,Paragraph,Conclusion,,,,39
Health and Physical Education,PE,,,Year 11,Unit 1,VCEPEU1AS1,Area of Study 1 - How does the musculoskeletal system work to produce movement?,Outcome 1,VCEPEU1AS1O1KK,DetailedExampleStep,Paragraph,"Students use the information collected through the practical activity and reflection, in conjunction with the information obtained through the research task to determine if a stretch should or should not be part of a pre-exercise or pre-game warm up.",,,,40
Health and Physical Education,PE,,,Year 11,Unit 1,VCEPEU1AS1,Area of Study 1 - How does the musculoskeletal system work to produce movement?,Outcome 1,VCEPEU1AS1O1KK,DetailedExampleStep,Paragraph,Area of Study 2: What role does the cardiorespiratory system play in movement,,,,41
Health and Physical Education,PE,,,Year 11,Unit 1,VCEPEU1AS2,Area of Study 2 - What role does the cardiorespiratory system play in movement?,Outcome 2,,,OutcomeHeading,Outcome 2:,,,,1
Health and Physical Education,PE,,,Year 11,Unit 1,VCEPEU1AS2,Area of Study 2 - What role does the cardiorespiratory system play in movement?,Outcome 2,,,OutcomeDescription,"On completion of this unit, the student should be able to participate in and analyse information from a variety of practical activities to explain how the cardiovascular and respiratory systems function and interact, and evaluate the use of performance enhancement substances and methods.",,,,2
Health and Physical Education,PE,,,Year 11,Unit 1,VCEPEU1AS2,Area of Study 2 - What role does the cardiorespiratory system play in movement?,Outcome 2,VCEPEU1AS2O2KK,Activity,Bullet,Explore the structure of the heart through a dissection of a sheep's heart (if appropriate in the individual school context),,,,3
Health and Physical Education,PE,,,Year 11,Unit 1,VCEPEU1AS2,Area of Study 2 - What role does the cardiorespiratory system play in movement?,Outcome 2,VCEPEU1AS2O2KS,Activity,Bullet,Describe the process of how deoxygenated blood becomes oxygenated in the body use an organisational tool such as a mind map or flow chart,,,,4
Health and Physical Education,PE,,,Year 11,Unit 1,VCEPEU1AS2,Area of Study 2 - What role does the cardiorespiratory system play in movement?,Outcome 2,VCEPEU1AS2O2KK,Activity,Bullet,"Create a video to show the movement of a blood cell through the body using a variety of physical education equipment; e.g. red bibs for oxygenated blood and blue bibs for deoxygenated blood, hula hoops to move through to represent the lungs where bibs are changed",,,,5
Health and Physical Education,PE,,,Year 11,Unit 1,VCEPEU1AS2,Area of Study 2 - What role does the cardiorespiratory system play in movement?,Outcome 2,VCEPEU1AS2O2KK,Activity,Bullet,"Research the function of the components of the blood (red blood cells, white blood cells, platelets and plasma) and describe if and how that role changes during exercise compared to being at rest",,,,6
Health and Physical Education,PE,,,Year 11,Unit 1,VCEPEU1AS2,Area of Study 2 - What role does the cardiorespiratory system play in movement?,Outcome 2,VCEPEU1AS2O2KK,Activity,Bullet,"Investigate increases in heart rates, stroke volume and cardiac output by using two tubs, one empty and one full of water, and various sized cups to try and keep up with how much blood is pumped by the heart as exercise intensity increases",,,,7
Health and Physical Education,PE,,,Year 11,Unit 1,VCEPEU1AS2,Area of Study 2 - What role does the cardiorespiratory system play in movement?,Outcome 2,VCEPEU1AS2O2KK,Activity,Bullet,"Investigate the changes in heart rate from rest to sub-maximal to maximal exercise through participation in a game (e.g. European handball, netball, soccer or badminton); use heart rate monitors, and/or an app and/or a manual recording of the heart rate; compare and analyse the data collected",,,,8
Health and Physical Education,PE,,,Year 11,Unit 1,VCEPEU1AS2,Area of Study 2 - What role does the cardiorespiratory system play in movement?,Outcome 2,VCEPEU1AS2O2KK,Activity,Bullet,"Print a variety of pictures of different sporting activities at different intensities (e.g. someone playing lawn bowls, jogger and basketballer mid drive,) and place on a graph to show the relationship between heart rate and exercise intensity, and therefore blood flow",,,,9
Health and Physical Education,PE,,,Year 11,Unit 1,VCEPEU1AS2,Area of Study 2 - What role does the cardiorespiratory system play in movement?,Outcome 2,VCEPEU1AS2O2KK,Activity,Bullet,Create a short video demonstrating the effects of exercising in the heat and thermoregulation in action,,,,10
Health and Physical Education,PE,,,Year 11,Unit 1,VCEPEU1AS2,Area of Study 2 - What role does the cardiorespiratory system play in movement?,Outcome 2,VCEPEU1AS2O2KK,Activity,Bullet,Examine Sports Medicine Australia's heat policy,,,,11
Health and Physical Education,PE,,,Year 11,Unit 1,VCEPEU1AS2,Area of Study 2 - What role does the cardiorespiratory system play in movement?,Outcome 2,VCEPEU1AS2O2KK,Activity,Bullet,Investigate the similarities and differences between vasodilation and vasoconstriction when exercising in the heat versus acute body response to exercise commencing,,,,12
Health and Physical Education,PE,,,Year 11,Unit 1,VCEPEU1AS2,Area of Study 2 - What role does the cardiorespiratory system play in movement?,Outcome 2,VCEPEU1AS2O2KK,Activity,Bullet,Use an organisational tool such as a mindmap to show the pathway of an oxygen molecule from entering the nasal cavity to the muscles,,,,13
Health and Physical Education,PE,,,Year 11,Unit 1,VCEPEU1AS2,Area of Study 2 - What role does the cardiorespiratory system play in movement?,Outcome 2,VCEPEU1AS2O2KS,Activity,Bullet,Create a video to demonstrate and describe how and why gaseous exchange occurs,,,,14
Health and Physical Education,PE,,,Year 11,Unit 1,VCEPEU1AS2,Area of Study 2 - What role does the cardiorespiratory system play in movement?,Outcome 2,VCEPEU1AS2O2KK,Activity,Bullet,Hypothesise what would happen if breathing was not an involuntary muscular contraction,,,,15
Health and Physical Education,PE,,,Year 11,Unit 1,VCEPEU1AS2,Area of Study 2 - What role does the cardiorespiratory system play in movement?,Outcome 2,VCEPEU1AS2O2KK,Activity,Bullet,"Participate in a practical activity and measure resting heart rate and respiratory rates throughout the game and at the end; divide into small groups, each use a different task word to create a question about the activity and then group the class' questions together to answer the overarching question of how the cardiovascular and respiratory systems interact to assist the body during exercise",,,,16
Health and Physical Education,PE,,,Year 11,Unit 1,VCEPEU1AS2,Area of Study 2 - What role does the cardiorespiratory system play in movement?,Outcome 2,VCEPEU1AS2O2KK,Activity,Bullet,Participate in 20 minutes of cycling on stationary bike to collect heart rate and respiratory rate data to then predict changes to these and other cardiac and respiratory parameters after regular aerobic exercise,,,,17
Health and Physical Education,PE,,,Year 11,Unit 1,VCEPEU1AS2,Area of Study 2 - What role does the cardiorespiratory system play in movement?,Outcome 2,VCEPEU1AS2O2KK,Activity,Bullet,"Investigate one performance enhancing substance or method that impacts the cardiorespiratory system; research the substance or method and its physiological effect on the body, the potential benefits and harms, and the social, cultural and ethical issues with using this particular substance or method",,,,18
Health and Physical Education,PE,,,Year 11,Unit 1,VCEPEU1AS2,Area of Study 2 - What role does the cardiorespiratory system play in movement?,Outcome 2,VCEPEU1AS2O2KS,Activity,Bullet,"Discuss, debate, decide, debrief task: discuss the historical and current use of doping in sport; debate the issue of doping in sport; decide if you agree or disagree with the arguments presented; debrief by identifying the ethical and sociocultural considerations associated with doping in sport",,,,19
Health and Physical Education,PE,,,Year 11,Unit 1,VCEPEU1AS2,Area of Study 2 - What role does the cardiorespiratory system play in movement?,Outcome 2,VCEPEU1AS2O2KK,DetailedExample,Paragraph,ANALYSIS ON PERFORMANCE ENHANCEMENT: IS IT WORTH IT?,,,,20
Health and Physical Education,PE,,,Year 11,Unit 1,VCEPEU1AS2,Area of Study 2 - What role does the cardiorespiratory system play in movement?,Outcome 2,VCEPEU1AS2O2KK,DetailedExampleStep,Paragraph,Task,,,,21
Health and Physical Education,PE,,,Year 11,Unit 1,VCEPEU1AS2,Area of Study 2 - What role does the cardiorespiratory system play in movement?,Outcome 2,VCEPEU1AS2O2KK,DetailedExampleStep,Paragraph,Students investigate one performance enhancing substance or method that impacts the cardiorespiratory system.,,,,22
Health and Physical Education,PE,,,Year 11,Unit 1,VCEPEU1AS2,Area of Study 2 - What role does the cardiorespiratory system play in movement?,Outcome 2,VCEPEU1AS2O2KS,DetailedExampleStep,Paragraph,Identify the issue,,,,23
Health and Physical Education,PE,,,Year 11,Unit 1,VCEPEU1AS2,Area of Study 2 - What role does the cardiorespiratory system play in movement?,Outcome 2,VCEPEU1AS2O2KK,DetailedExampleStep,Paragraph,"Students select a permitted or prohibited substance or method that enhances the cardiorespiratory system (for example, altitude training, EPO, beta blockers, gene doping or blood doping).",,,,24
Health and Physical Education,PE,,,Year 11,Unit 1,VCEPEU1AS2,Area of Study 2 - What role does the cardiorespiratory system play in movement?,Outcome 2,VCEPEU1AS2O2KS,DetailedExampleStep,Paragraph,Analyse the problem,,,,25
Health and Physical Education,PE,,,Year 11,Unit 1,VCEPEU1AS2,Area of Study 2 - What role does the cardiorespiratory system play in movement?,Outcome 2,VCEPEU1AS2O2KK,DetailedExampleStep,Paragraph,"Students research physiological effects of the substance or method on the body. They analyse data relating to common uses, misuses, potential benefits and harms.",,,,26
Health and Physical Education,PE,,,Year 11,Unit 1,VCEPEU1AS2,Area of Study 2 - What role does the cardiorespiratory system play in movement?,Outcome 2,VCEPEU1AS2O2KS,DetailedExampleStep,Paragraph,Evaluate past outcomes,,,,27
Health and Physical Education,PE,,,Year 11,Unit 1,VCEPEU1AS2,Area of Study 2 - What role does the cardiorespiratory system play in movement?,Outcome 2,VCEPEU1AS2O2KK,DetailedExampleStep,Paragraph,"Students research previous outcomes of athletes who have consumed the substance or method and discuss the social, cultural and ethical issues with using this particular substance or method.",,,,28
Health and Physical Education,PE,,,Year 11,Unit 1,VCEPEU1AS2,Area of Study 2 - What role does the cardiorespiratory system play in movement?,Outcome 2,VCEPEU1AS2O2KK,DetailedExampleStep,Paragraph,Determine future uses - a strengths based approach,,,,29
Health and Physical Education,PE,,,Year 11,Unit 1,VCEPEU1AS2,Area of Study 2 - What role does the cardiorespiratory system play in movement?,Outcome 2,VCEPEU1AS2O2KK,DetailedExampleStep,Paragraph,"Students outline possible future uses of using the substance or method and alternative pathways that may help overcomes the associated social, cultural and ethical issues.",,,,30
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2,,,,,UnitHeading,"Unit 2 Physical activity, sport, exercise and society",,,,1
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2,,,,GeneralActivity,Paragraph,"Area of Study 1: How do physical activity, sport and exercise contribute to healthy lifestyles?",,,,2
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS1,"Area of Study 1 - How do physical activity, sport and exercise contribute to healthy lifestyles?",Outcome 1,,,OutcomeHeading,Outcome 1:,,,,1
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS1,"Area of Study 1 - How do physical activity, sport and exercise contribute to healthy lifestyles?",Outcome 1,,,OutcomeDescription,"On completion of this unit, the student should be able to collect and analyse data related to individual and population levels of participation in physical activity and sedentary behaviour and conduct an FMA to create, undertake and evaluate a personalised plan that promotes adherence to the relevant physical activity and sedentary behaviour guidelines.",,,,2
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS1,"Area of Study 1 - How do physical activity, sport and exercise contribute to healthy lifestyles?",Outcome 1,,,SectionHeading,Examples of learning activities,,,,3
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS1,"Area of Study 1 - How do physical activity, sport and exercise contribute to healthy lifestyles?",Outcome 1,VCEPEU2AS1O1KK,Activity,Bullet,"Participate in a range of physical activities such as playing in a playground, playing a game of tag, playing a game of soccer, walking to school, mowing the grass at home, cycling on the local bike paths and describe the characteristics of each activity",,,,4
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS1,"Area of Study 1 - How do physical activity, sport and exercise contribute to healthy lifestyles?",Outcome 1,VCEPEU2AS1O1KK,Activity,Bullet,"Participate in a Tai-Chi class and record observations and reflections on the impact of the activity on physical, social, mental, emotional and spiritual health",,,,5
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS1,"Area of Study 1 - How do physical activity, sport and exercise contribute to healthy lifestyles?",Outcome 1,VCEPEU2AS1O1KK,Activity,Bullet,"Use the reflective folio to monitor physical, social, mental, emotional and spiritual benefits of regular participation in types of movement",,,,6
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS1,"Area of Study 1 - How do physical activity, sport and exercise contribute to healthy lifestyles?",Outcome 1,VCEPEU2AS1O1KK,Activity,Bullet,Debate the following statement: 'It is possible to be sufficiently physically active for health and still be highly sedentary',,,,7
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS1,"Area of Study 1 - How do physical activity, sport and exercise contribute to healthy lifestyles?",Outcome 1,VCEPEU2AS1O1KK,Activity,Bullet,"Use an online tool to construct a survey to determine the influences on participation in physical activity for a specific age group (e.g. children aged 5-12 years, young people 13-18 years, young adults 19-35 years, adults 36-60 years, older adults 60+ years); analyse the results, summarise the findings and compare to other age groups",,,,8
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS1,"Area of Study 1 - How do physical activity, sport and exercise contribute to healthy lifestyles?",Outcome 1,VCEPEU2AS1O1KS,Activity,Bullet,Analyse secondary data to determine trends in physical activity patterns,,,,9
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS1,"Area of Study 1 - How do physical activity, sport and exercise contribute to healthy lifestyles?",Outcome 1,VCEPEU2AS1O1KK,Activity,Bullet,"Collect individual data on physical activity, inactivity and sedentary behaviour for one week; analyse the data to determine if the physical activity and sedentary behaviour guidelines for the relevant age group are met",,,,10
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS1,"Area of Study 1 - How do physical activity, sport and exercise contribute to healthy lifestyles?",Outcome 1,VCEPEU2AS1O1KK,Activity,Bullet,"Use a wearable device during the delivery of Unit 2, Area of Study 1; during each class, plot the number of steps taken by each student since the last class; at the end of the unit, determine the virtual distance travelled by each student (e.g. Sam recorded 1,188,000 steps, the equivalent of 'walking' from Melbourne to Sydney)",,,,11
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS1,"Area of Study 1 - How do physical activity, sport and exercise contribute to healthy lifestyles?",Outcome 1,VCEPEU2AS1O1KK,Activity,Bullet,"Design, undertake and report on a practical laboratory that compares the use of a subjective and an objective method of assessing physical activity and sedentary behaviour",,,,12
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS1,"Area of Study 1 - How do physical activity, sport and exercise contribute to healthy lifestyles?",Outcome 1,VCEPEU2AS1O1KS,Activity,Bullet,"Construct a 'Y' chart to identify what barriers to physical activity 'look like', 'feel like' and 'sound like'",,,,13
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS1,"Area of Study 1 - How do physical activity, sport and exercise contribute to healthy lifestyles?",Outcome 1,VCEPEU2AS1O1KK,Activity,Bullet,"Investigate a range of initiatives designed to increase physical activity and/or reduce sedentary behaviour; outline the modality of the initiative, and identify the target population",,,,14
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS1,"Area of Study 1 - How do physical activity, sport and exercise contribute to healthy lifestyles?",Outcome 1,VCEPEU2AS1O1KS,Activity,Bullet,"Apply the social-ecological model to critique an initiative designed to increase participation in physical activity within the school, community or workplace",,,,15
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS1,"Area of Study 1 - How do physical activity, sport and exercise contribute to healthy lifestyles?",Outcome 1,VCEPEU2AS1O1KK,Activity,Bullet,"Conduct a SWOT analysis to determine the strengths, weaknesses, opportunities and threats to the implementation of an initiative to promote physical activity at lunchtime",,,,16
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS1,"Area of Study 1 - How do physical activity, sport and exercise contribute to healthy lifestyles?",Outcome 1,VCEPEU2AS1O1KS,Activity,Bullet,"Create, implement and evaluate a school-based initiative to reduce the sedentary behaviour of students during lunchtimes",,,,17
Health and Physical Education,PE,,,Year 11,Unit 2,VCEPEU2AS1,"Area of Study 1 - How do physical activity, sport and exercise contribute to healthy lifestyles?",Outcome 1,VCEPEU2AS1O1KK,Activity,Bullet,Create a list of typical daily activities and link each to a health-related fitness component,,,,18
