SubjectArea,Subject,SubjectStreamCode,SubjectStreamName,Band,AssessmentType,AssessmentInformationDetails,AssessmentYears,UnitASCode,ExamReportCode,EQCode,SectionCode,StrategyType,ExamQuestion,ResponseSource,Content,Example,Sequence
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERA,VCEPE25EQA14,VCEPEERA,ExaminerCommentary,Question 14,Correct answer: B,,,14
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERA,VCEPE25EQA15,VCEPEERA,ExaminerCommentary,Question 15,Correct answer: D,,,15
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERA,VCEPE25EQA16,VCEPEERA,ExaminerCommentary,Question 16,Correct answer: A,,,16
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERA,VCEPE25EQA17,VCEPEERA,ExaminerCommentary,Question 17,Correct answer: C,,,17
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERA,VCEPE25EQA18,VCEPEERA,ExaminerCommentary,Question 18,Correct answer: B,"It takes longer to acquire skills through random practice, but this method has a greater rate of retention.",,18
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERA,VCEPE25EQA19,VCEPEERA,ExaminerCommentary,Question 19,Correct answer: C,,,19
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERA,VCEPE25EQA20,VCEPEERA,ExaminerCommentary,Question 20,Correct answer: C,,,20
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERB,VCEPE25EQB1,VCEPEERB,ExaminerCommentary,Question 1a,,The correct answer was ‘excess post-exercise oxygen consumption (EPOC)’.,,1
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERB,VCEPE25EQB1,VCEPEERB,ExaminerCommentary,Question 1b,,"Students were required to outline an activity that could be appropriate for a cool-down.
Acceptable answers included:
kayak at lower intensity
static stretch – holding an arm across the body.",,2
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERB,VCEPE25EQB1,VCEPEERB,LimitedStrategies,Question 1b,,"Common issues included:
listing rather than outlining a response
not linking the response to the correct activity context (kayaking) – some students provided ‘jogging’ as a response, which is not specific to this activity
not providing a specific example of a static stretch.",,3
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERB,VCEPE25EQB1,VCEPEERB,ExaminerCommentary,Question 1c,,"Students were required to use the stimulus to predict whether Curtis McGrath, an Australian paracanoeist, would have reached steady state and justify their prediction.",,4
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERB,VCEPE25EQB1,VCEPEERB,EnhancedStrategies,Question 1c,,Responses that scored highly linked the performance characteristics of the event (intensity and duration) to their justification.,,5
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERB,VCEPE25EQB1,VCEPEERB,StudentResponse,Question 1c,,,"The following is an example of an ideal response:
Curtis is not likely to reach steady state due to the 41.708 second duration of the event. As a result of this short-duration maximal-intensity effort, the anaerobic systems are likely the major contributor, indicating that oxygen supply does not equal demand and Curtis is in oxygen deficit for the duration of the event.",6
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERB,VCEPE25EQB1,VCEPEERB,ExaminerCommentary,Question 1d,,"Students were required to identify resistance training protocols for a selected exercise to improve muscular power for Curtis.
Acceptable exercises included:
chest press
lat pull-down
seated row.
The correct answer for repetitions is three to ten (or a number within this range).
The correct answer for % 1RM is 30–70% 1RM (or a percentage within this range).",,7
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERB,VCEPE25EQB1,VCEPEERB,EnhancedStrategies,Question 1e,,"To be awarded full marks, students were expected to explain how an improvement in Curtis’s lactate tolerance could have contributed to his performance in his kayak event.
Responses that scored highly explained how training that focused on the anaerobic glycolysis system produced the adaptation of increased muscle buffering capacity, which would result in an increase in lactate tolerance.",,8
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERB,VCEPE25EQB1,VCEPEERB,LimitedStrategies,Question 1e,,"Common issues included:
confusing lactate tolerance with LIP
not providing a physiological reason/adaptation (increased muscle buffering capacity) that could explain an increase in lactate tolerance. Unit 4 Area of Study 2 is clear in identifying performance improvements such as an increase in lactate tolerance and requires students to explain adaptations that account for these outcomes.",,9
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERB,VCEPE25EQB1,VCEPEERB,StudentResponse,Question 1e,,,"The following is an example of an ideal response:
During intermediate interval training, there would be a large contribution from the anaerobic glycolysis system, which results in an accumulation of metabolic by-products. This training would increase Curtis’s muscle buffering capacity, meaning he can withstand the impact of high lactate levels and can maintain his force production while kayaking, finishing in a faster time.
Question 2ai.
The correct answer was ‘cognitive’.
Question 2aii.
The correct answer was ‘continuous’.",10
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERB,VCEPE25EQB2,VCEPEERB,EnhancedStrategies,Question 2b,,"To be awarded full marks, students needed to evaluate the most appropriate practice distribution for Mick, referring to his stage of learning and type of skill in their response. The most appropriate practice distribution was distributed practice.",,11
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERB,VCEPE25EQB2,VCEPEERB,StudentResponse,Question 2b,,,"The following is an example of a high-scoring response:
As Mick is a cognitive learner when he first learnt to walk with crutches, distributed practice, which is shorter more frequent practice, would be most appropriate. This ensures he can experience more recovery periods as well as receive more frequent feedback to improve quickly. As this is a continuous skill he is likely to fatigue quickly and so distributed is more appropriate than massed which is fewer but longer practice sessions as that would fatigue Mick more and give him less opportunity for feedback.",12
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERB,VCEPE25EQB2,VCEPEERB,LimitedStrategies,Question 2b,,Many responses incorrectly evaluated type of practice (part or whole) or variability of practice (blocked or random). Students are reminded to review the categories of practice to ensure they are addressing the requirements of the question.,,13
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERB,VCEPE25EQB2,VCEPEERB,EnhancedStrategies,Question 2c,,"To be awarded full marks, students needed to explain how the use of goal setting could have improved Mick’s participation, skill development and performance.
Responses that scored highly linked goal setting to an increase in Mick’s motivation, which would increase his participation and opportunity for practice, in turn increasing his skill development and performance.",,14
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERB,VCEPE25EQB2,VCEPEERB,StudentResponse,Question 2c,,,"The following is an example of an ideal response:
Goal setting involves setting specific goals or outcomes to be achieved through his practice, which can motivate him to participate to achieve his goals. This participation leads to an increase in practice, which leads to an increase in motor skill development when running with crutches. This would lead to an increase in performance, which would further motivate him to participate.",15
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERB,VCEPE25EQB2,VCEPEERB,ExaminerCommentary,Question 2d,,Students were required to describe a nutritional strategy that Mick could have used during the event to delay fatigue.,,16
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERB,VCEPE25EQB2,VCEPEERB,EnhancedStrategies,Question 2d,,Responses that scored highly were able to link the consumption of carbohydrates to the delay of fatigue due to glycogen depletion.,,17
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERB,VCEPE25EQB2,VCEPEERB,StudentResponse,Question 2d,,,"The following is an example of a high-scoring response:
Mick could consume carbohydrates during the event to provide an alternate source of fuel for the muscles, delaying the risk of fatigue due to glycogen depletion.",18
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERB,VCEPE25EQB2,VCEPEERB,LimitedStrategies,Question 2d,,"Common issues included:
referring to carbohydrate loading, despite the context being ‘during the event’. In this study design, students need to be able to describe nutritional strategies that enhance performance and recovery and delay fatigue prior to, during and following an event.
using the term ‘carbs’, which is not an acceptable abbreviation for carbohydrate
referring to glycaemic index (GI) ranking, which is outside of the scope of the study design.",,19
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERB,VCEPE25EQB3,VCEPEERB,EnhancedStrategies,Question 3a,,"To be awarded full marks, students needed to clearly explain the purpose of an activity analysis.",,20
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERB,VCEPE25EQB3,VCEPEERB,StudentResponse,Question 3a,,,"The following is a sample response:
An activity analysis can aid the coach in determining the physiological requirements of lacrosse to determine the relevant fitness components, energy systems and muscle groups. This allows the coach to select fitness tests and design a specific training program for players.",21
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERB,VCEPE25EQB3,VCEPEERB,LimitedStrategies,Question 3a,,A common issue was explaining that an activity analysis could be used to identify strengths and weaknesses of an athlete.,,22
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERB,VCEPE25EQB3,VCEPEERB,ExaminerCommentary,Question 3a,,Students are reminded that the purpose of an activity analysis (identifying the physiological requirements of an activity) and the purpose of fitness testing (identifying strengths and weaknesses) are different.,,23
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERB,VCEPE25EQB3,VCEPEERB,ExaminerCommentary,Question 3b,,"Students were required to identify an alternative type of data and outline how this could be used as part of a coach’s activity analysis.
Accepted types of data included:
skill frequency
heart rate
work-to-rest ratio (W:R).",,24
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERB,VCEPE25EQB3,VCEPEERB,LimitedStrategies,Question 3b,,"A common issue was to identify a method of data collection (such as heart rate monitors or GPS), rather than a type of data.",,25
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERB,VCEPE25EQB3,VCEPEERB,ExaminerCommentary,Question 3b,,"Students are expected to undertake an activity analysis as part of the requirements of the study design and therefore will use a variety of methods of data analysis when doing this. However, when integrating their practical participation with their theoretical application, as per the study design, students are to analyse the types of data, not methods of collection.",,26
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERB,VCEPE25EQB3,VCEPEERB,StudentResponse,Question 3b,,,"The following is an example of a high-scoring response:
Collecting skill frequency data such as jumps can help the coach identify relevant fitness components and muscle groups required in lacrosse.",27
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERB,VCEPE25EQB3,VCEPEERB,ExaminerCommentary,Question 3c,,Students were required to reference data to analyse the relationship between the energy systems used during activity and recovery for lacrosse midfielders and defenders.,,28
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERB,VCEPE25EQB3,VCEPEERB,EnhancedStrategies,Question 3c,,"Responses that scored highly were able to:
reference all energy systems within the context of lacrosse midfielders and defenders
identify the aerobic system as the greatest contributor, with supporting data
use specific numbers from the data to support their explanation
explain the energy system contribution using the key terms ‘rate’ and ‘yield’
compare rest times and the resulting difference in creatine phosphate (CP) restoration for the two positions
use the information about rest time to compare the energy system contribution during work periods for the two positions.",,29
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERB,VCEPE25EQB3,VCEPEERB,LimitedStrategies,Question 3c,,"Common issues included:
writing a generic energy system interplay without comparing the two positions
referring to the information without specific data references
using terms outside the scope of the study design, such as ‘dominant’ and ‘predominant’, instead of accepted terms such as ‘rate’, ‘yield’ and ‘contribution at varying intensities’.",,30
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERB,VCEPE25EQB3,VCEPEERB,StudentResponse,Question 3c,,,"The following is an example of an ideal response:
Both midfielders and defenders use all three energy systems across a lacrosse match. However, the aerobic system (large yield) contributes the most for both positions, given the long game duration (80 minutes).
Midfielders spend less total time on the field (36 minutes compared to 59 minutes) but complete more sprinting and running (218 m and 1244 m). This indicates a greater reliance on the anaerobic systems –the adenosine triphosphate–creatine phosphate system (ATP–CP) and anaerobic glycolysis – which provide ATP at a faster rate but with a smaller yield to support repeated explosive efforts. Their reduced playing time means they spend longer on the bench, allowing the aerobic system to restore CP so that the ATP–CP system can be used again for subsequent high-intensity efforts. With more passive recovery available, midfielders are better able to sustain a higher intensity throughout the game.
Defenders, on the other hand, spend more time on the field (59 minutes) but cover less sprinting and running distance (152 m and 1058 m). This reflects a lower working intensity and a larger reliance on the aerobic system, which provides ATP more slowly. Because defenders have less bench time for recovery, they have fewer opportunities to restore CP, resulting in a reduced capacity for explosive actions as the game progresses.",31
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERB,VCEPE25EQB3,VCEPEERB,EnhancedStrategies,Question 3d,,"To be awarded full marks, students were expected to identify that the Yo-Yo intermittent recovery test was the most suitable test. They needed to use their understanding of the concept of specificity to justify their selection and explain why the Cooper 12-minute run test was less appropriate.",,32
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERB,VCEPE25EQB3,VCEPEERB,ExaminerCommentary,Question 3d,,"Many responses used information from the stimulus correctly and displayed a strong understanding of the concept of specificity and the need to replicate movement patterns in test selection.
The knowledge required for this question should be developed through participation in an assessment of fitness and then applied through the information provided in the stimulus. In this study design, students are not required to know the methods of specific fitness tests.",,33
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERB,VCEPE25EQB3,VCEPEERB,LimitedStrategies,Question 3d,,"Common issues included:
a lack of understanding or recognition that, when evaluating two options, a comparison to the non-selected variable identified in the stimulus needs to be made
not defending the selected choice with evidence or reasoning.",,34
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERB,VCEPE25EQB3,VCEPEERB,StudentResponse,Question 3d,,,The following is an example of a high-scoring response.,35
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERB,VCEPE25EQB3,VCEPEERB,ExaminerCommentary,Question 3d,,"The Yo-Yo intermittent test would be the most appropriate from a physiological perspective as it replicates the physiological demands of lacrosse. The intermittent nature of the test, with periods of walking and periods of higher intensity running is suited to the movement patterns and demands of lacrosse players, as they walk for 172m and run 1169m. The Cooper 12 minute run test doesn’t reflect the intermittent nature of lacrosse as it is continuous, making is less suitable.",,36
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERB,VCEPE25EQB3,VCEPEERB,EnhancedStrategies,Question 3e,,"To be awarded full marks, students needed to use their understanding of VO2 max to explain how it would improve the performance of the lacrosse players.
Responses that scored highly demonstrated an understanding that a high VO2 max leads to an increased rate of energy production via the aerobic system, and described how this would enhance performance in lacrosse.",,37
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERB,VCEPE25EQB3,VCEPEERB,LimitedStrategies,Question 3e,,"Common issues included:
relying on generic language such as ‘working at a higher intensity for longer’ and not linking this performance benefit to the aerobic system
not including reference to the context of the question, which was lacrosse.",,38
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERB,VCEPE25EQB3,VCEPEERB,StudentResponse,Question 3e,,,"The following is an example of an ideal response:
An increased VO2 max increases the maximum amount of oxygen that can be taken up, transported to and utilised by the working muscles per minute. This increase allows for faster rates of energy production via the aerobic system, which means the lacrosse player can run at a higher intensity aerobically.",39
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERB,VCEPE25EQB3,VCEPEERB,ExaminerCommentary,Question 3f,,"Students were required to explain how an appropriate respiratory adaptation could contribute to an increased VO2 max.
Acceptable adaptations were:
increased surface area of alveoli
increased size of alveoli
increased pulmonary diffusion
increase ventilation (max)
increased tidal volume.
Some responses that used tidal volume did not show an understanding of the concept as an adaptation and did not link it to maximal ventilation and VO2 max.",,40
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERB,VCEPE25EQB3,VCEPEERB,StudentResponse,Question 3f,,,"The following is an example of a high-scoring response:
Increased pulmonary diffusion increases the amount of oxygen that is diffused through the alveoli into the blood. This directly increases the uptake of oxygen which increases the availability of oxygen for working muscles, increasing aerobic ATP production and therefore VO2 max.",41
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERB,VCEPE25EQB4,VCEPEERB,ExaminerCommentary,Question 4a,,Students were required to explain how increased motor unit recruitment could improve performance in tennis.,,42
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERB,VCEPE25EQB4,VCEPEERB,EnhancedStrategies,Question 4a,,Responses that scored highly were able to demonstrate an understanding of the outcome of increased motor unit recruitment in the context of a tennis match.,,43
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERB,VCEPE25EQB4,VCEPEERB,StudentResponse,Question 4a,,,"The following is an example of a high-scoring response:
Increased motor unit recruitment allows more muscle to be used during contractions, increasing the force produced. This allows for more powerful tennis shots, making them more difficult to return.",44
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERB,VCEPE25EQB4,VCEPEERB,ExaminerCommentary,Question 4b,,Students were required to explain how an increase in muscle strength could increase muscular power.,,45
Health and Physical Education,Physical Education,,,Year 12,Final Exam,Post Exam Report,2025,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPEERB,VCEPE25EQB4,VCEPEERB,EnhancedStrategies,Question 4b,,"Responses that scored highly were able to demonstrate an understanding of the relationship between muscular strength, muscular power and speed by focusing on the characteristics of each fitness component rather than just definitions.",,46
