SubjectArea,Subject,SubjectStreamCode,SubjectStreamName,Band,AssessmentType,AssessmentInformationDetails,AssessmentYears,UnitASCode,ExamReportCode,EQCode,SectionCode,StrategyType,ExamQuestion,ResponseSource,Content,Example,Sequence
Health and Physical Education,Health and Human Development,,,Year 12,Final Exam,Post Exam Report,2025,,VCEHHDERA,VCEHHD25EQA4,VCEHHDERA,ExaminerCommentary,Question 4c,,"Changes that result from reducing smoking/vaping could include:
reduced respiratory illnesses / smoking-related illnesses, such as asthma, emphysema or Chronic Obstructive Pulmonary Disease
reduced rates of cancer (lung, mouth, breast, etc.)
reduced rates of cardiovascular disease
reduced rates of hospitalisation as a result of cancer / cardiovascular disease.
Some examples of how reducing rates of smoking/vaping could act as a resource for the individual could include that they are:
able to attend work to earn an income to afford health care, nutritious foods, housing or to participate in recreational activities
more productive at work/school, leading to better mental health and wellbeing as they are better able to concentrate and manage their workload
not experiencing illness, which reduces costs on health care and medications, meaning they have more money for shelter, water and nutritious foods.
Some examples of how reducing rates of smoking/vaping could act as a resource for the nation could include:
fewer people needing medication, reducing the costs associated with providing health care, such as the Pharmaceutical Benefits Scheme
reduced rates of hospitalisation allowing money to be redirected to other priorities, such as medical research, education or infrastructure
people can work and pay taxes to the government, which enables more money to be spent on infrastructure such as hospitals or educational facilities.
In constructing their response, students needed to link the change from reducing smoking/vaping to an example of a resource for the individual or nation. An example for the individual could be ‘Reducing smoking/vaping would reduce respiratory illnesses such as asthma, which means individuals are able to attend work to earn an income to afford nutritious foods’.",,26
Health and Physical Education,Health and Human Development,,,Year 12,Final Exam,Post Exam Report,2025,,VCEHHDERA,VCEHHD25EQA4,VCEHHDERA,EnhancedStrategies,Question 4c,,The following are extracts from high-scoring responses:,,27
Health and Physical Education,Health and Human Development,,,Year 12,Final Exam,Post Exam Report,2025,,VCEHHDERA,VCEHHD25EQA5,VCEHHDERA,ExaminerCommentary,Question 5a,,"Relevant World Health Organization (WHO) objectives are:
prevent, mitigate and prepare for risks to health from all hazards
rapidly detect and sustain an effective response to all health emergencies
advance the primary health care approach and essential health system capacities for universal health coverage
improve health service coverage and financial protection to address inequity and gender inequalities
address health determinants and the main causes of ill health.
Students were not expected to cite one of the objectives word-for-word, but did need to use key terms from the objectives, such as those in bold above.",,28
Health and Physical Education,Health and Human Development,,,Year 12,Final Exam,Post Exam Report,2025,,VCEHHDERA,VCEHHD25EQA5,VCEHHDERA,LimitedStrategies,Question 5a,,"A common issue was students listing the terms ‘promote, provide and protect’, which are components of the WHO goal, not objectives.",,29
Health and Physical Education,Health and Human Development,,,Year 12,Final Exam,Post Exam Report,2025,,VCEHHDERA,VCEHHD25EQA5,VCEHHDERA,ExaminerCommentary,Question 5a,,"Teachers are reminded about the 2025 WHO Goals and Objectives document available on VCE Health and Human Development Teaching and learning page of the VCAA website, which outlines the intended scope of this key knowledge.",,30
Health and Physical Education,Health and Human Development,,,Year 12,Final Exam,Post Exam Report,2025,,VCEHHDERA,VCEHHD25EQA5,VCEHHDERA,StudentResponse,Question 5a,,,The following is an example of a high-scoring response:,31
Health and Physical Education,Health and Human Development,,,Year 12,Final Exam,Post Exam Report,2025,,VCEHHDERA,VCEHHD25EQA5,VCEHHDERA,ExaminerCommentary,Question 5b,,"Students needed to refer to a specific example in the case study to support their explanation.
Indicators of the Human Development Index are:
life expectancy at birth
expected years of schooling
mean years of schooling
Gross National Income per capita.",,32
Health and Physical Education,Health and Human Development,,,Year 12,Final Exam,Post Exam Report,2025,,VCEHHDERA,VCEHHD25EQA5,VCEHHDERA,LimitedStrategies,Question 5b,,"Common issues included:
incorrectly naming the indicators: for example, ‘life expectancy’ instead of ‘life expectancy at birth’ or ‘Gross National Income’ instead of ‘Gross National Income per capita’
confusing the indicators of the Human Development Index with the dimensions. In these cases, students could not be awarded marks.",,33
Health and Physical Education,Health and Human Development,,,Year 12,Final Exam,Post Exam Report,2025,,VCEHHDERA,VCEHHD25EQA5,VCEHHDERA,StudentResponse,Question 5b,,,The following is an example of a high-scoring response:,34
Health and Physical Education,Health and Human Development,,,Year 12,Final Exam,Post Exam Report,2025,,VCEHHDERA,VCEHHD25EQA6,VCEHHDERA,ExaminerCommentary,Question 6a,,Accepted responses were either ‘social’ or ‘social sustainability’.,,35
Health and Physical Education,Health and Human Development,,,Year 12,Final Exam,Post Exam Report,2025,,VCEHHDERA,VCEHHD25EQA6,VCEHHDERA,ExaminerCommentary,Question 6b,,"When referring to social sustainability, students were expected to show an understanding of the ongoing nature of sustainability, which could include using language such as ‘now and into the future’, ‘continuing’, ‘ongoing’ or ‘indefinitely’.
Examples of social sustainability could include:
access to human rights
access to education
access to health care
political empowerment
connection to community
building skills and capacities
increasing equity (including gender equality)
sustainable birth rates
social support systems
increasing access to technology
peace and security
safe and decent working conditions
elimination of poverty
high levels of employment.
Meaningful links to human development concepts could include:
access to a decent standard of living
participation in decisions affecting lives
reaching full potential
enhancing capabilities
participating in the community
long and healthy life
productive creative lives
expanding choices
access to knowledge
access to health.
Students who scored highly showed meaningful connections between social sustainability and human development concepts. In relation to gender equality, students may have stated ‘Ensuring gender equality is improved now and into the future can mean that women have more power in their own lives. For example, they can have a say in decisions such as when and who they get married to. This leads to increased say in choices and decisions that are impacting their lives (human development)’.",,36
Health and Physical Education,Health and Human Development,,,Year 12,Final Exam,Post Exam Report,2025,,VCEHHDERA,VCEHHD25EQA6,VCEHHDERA,LimitedStrategies,Question 6b,,"Common issues included:
listing concepts of human development without demonstrating an understanding of their meaning
not showing an understanding of the ongoing nature of social sustainability.",,37
Health and Physical Education,Health and Human Development,,,Year 12,Final Exam,Post Exam Report,2025,,VCEHHDERA,VCEHHD25EQA6,VCEHHDERA,StudentResponse,Question 6b,,,The following is an example of a high-scoring response:,38
Health and Physical Education,Health and Human Development,,,Year 12,Final Exam,Post Exam Report,2025,,VCEHHDERA,VCEHHD25EQA6,VCEHHDERA,EnhancedStrategies,Question 6b,,The following are extracts from high-scoring responses:,,39
Health and Physical Education,Health and Human Development,,,Year 12,Final Exam,Post Exam Report,2025,,VCEHHDERA,VCEHHD25EQA7,VCEHHDERA,ExaminerCommentary,Question 7a,,"Students were required to link to the stimulus material provided. Students should use quotation marks when drawing on text directly from the stimulus.
Students needed to show ‘how’ the program promotes health and wellbeing by describing a meaningful link between the program and a dimension of health and wellbeing. For example, the text in bold shows the connection between the program and health and wellbeing:
'Participating in cultural arts, crafts and dance' and 'getting to know other Koorie Kids in the area' can provide opportunities for children and parents with similar interests to create new friendships, forming meaningful relationships.
The program promotes belonging among the Aboriginal and Torres Strait Islander community as children and their parents or carers are ‘gathering with other Koorie families’ to ‘hear stories’ and ‘participate in cultural activities such as art, craft and dance’, allowing a sense of pride in their culture, as well as a sense of connection and belonging for families in this community.",,40
Health and Physical Education,Health and Human Development,,,Year 12,Final Exam,Post Exam Report,2025,,VCEHHDERA,VCEHHD25EQA7,VCEHHDERA,LimitedStrategies,Question 7a,,"Common issues included:
not providing links to the stimulus material when showing understanding. Just naming the program from the stimulus material was considered insufficient
quoting the stimulus material without drawing a connection to a dimension of health and wellbeing.",,41
Health and Physical Education,Health and Human Development,,,Year 12,Final Exam,Post Exam Report,2025,,VCEHHDERA,VCEHHD25EQA7,VCEHHDERA,StudentResponse,Question 7a,,,The following is an example of a high-scoring response:,42
Health and Physical Education,Health and Human Development,,,Year 12,Final Exam,Post Exam Report,2025,,VCEHHDERA,VCEHHD25EQA7,VCEHHDERA,ExaminerCommentary,Question 7b,,"Students needed to show an understanding of the concept of social justice and could have referred to:
human rights:
promotion of rights and freedom
access:
equal opportunities and resources needed to thrive
prerequisites for health (food, income, education)
participation:
encouraged to participate in one’s community
voice represented
equity (fairness):
address factors that cause inequality
provide strategies to ensure fairness
provide what individuals or groups require for health and wellbeing.",,43
Health and Physical Education,Health and Human Development,,,Year 12,Final Exam,Post Exam Report,2025,,VCEHHDERA,VCEHHD25EQA7,VCEHHDERA,LimitedStrategies,Question 7b,,Students did not need to directly cite these principles but they did need to demonstrate understanding of at least one principle.,,44
Health and Physical Education,Health and Human Development,,,Year 12,Final Exam,Post Exam Report,2025,,VCEHHDERA,VCEHHD25EQA7,VCEHHDERA,StudentResponse,Question 7b,,,The following is an example of a high-scoring response:,45
Health and Physical Education,Health and Human Development,,,Year 12,Final Exam,Post Exam Report,2025,,VCEHHDERA,VCEHHD25EQA8,VCEHHDERA,EnhancedStrategies,Question 8,,"This question was marked holistically using a rubric, with high-scoring responses expected to demonstrate the following competencies:
a comprehensive and accurate analysis of the role of Medicare in promoting health outcomes
use of a detailed and accurate example of how Medicare reflects sustainability
use of a detailed and accurate example of how Medicare reflects equity
Students could use the following examples:
Role of Medicare:
Australia’s universal health insurance scheme
clinically necessary health care
x-rays and pathology tests
eye tests
subsidised treatment in private hospitals
pays the scheduled fee for a range of healthcare services
Sustainability:
subsidising the cost of necessary health care
increasing the Medicare levy assists in providing the necessary funds to maintain Australia’s health system
covering screening services to address diseases early
Equity:
Medicare Safety Net
bulk billing
Mental Health Treatment Plan
public dental service
Indigenous Health Incentive.",,46
Health and Physical Education,Health and Human Development,,,Year 12,Final Exam,Post Exam Report,2025,,VCEHHDERA,VCEHHD25EQA8,VCEHHDERA,LimitedStrategies,Question 8,,"Common issues included:
students confusing equity with equality:
for example, discussing how Medicare allows all Australians to have access to health care. Equity in Medicare is demonstrated through a feature designed to cater for a particular group or to address disadvantage. Students needed to select aspects of Medicare that directly help people with greater needs or fewer resources to access health care
some students used the Medicare Levy Surcharge when analysing Medicare’s role in promoting equity; however, this is a tax policy that encourages the uptake of private health insurance, and is not an aspect of Medicare that improves health outcomes for those who are disadvantaged or vulnerable. The Medicare Levy Surcharge does not promote equity, because it does not change or improve the way people access Medicare services; everyone continues to have the same entitlements to care regardless of income
not providing a link to health promotion outcomes when analysing the role Medicare plays in promoting sustainability and equity. The question required students to analyse how the examples of sustainability and equity could promote either health status or health and wellbeing.",,47
Health and Physical Education,Health and Human Development,,,Year 12,Final Exam,Post Exam Report,2025,,VCEHHDERA,VCEHHD25EQA8,VCEHHDERA,StudentResponse,Question 8,,,The following is an example of a high-scoring response:,48
Health and Physical Education,Health and Human Development,,,Year 12,Final Exam,Post Exam Report,2025,,VCEHHDERA,VCEHHD25EQA9,VCEHHDERA,ExaminerCommentary,Question 9a,,"Examples of individual and/or social action could include:
volunteering or donating to a non-government organisation
lobbying governments
spreading awareness via social media
signing petitions to take to politicians
protesting to raise awareness.
Most students were able to outline a way of taking individual or social action.",,49
Health and Physical Education,Health and Human Development,,,Year 12,Final Exam,Post Exam Report,2025,,VCEHHDERA,VCEHHD25EQA9,VCEHHDERA,LimitedStrategies,Question 9a,,"Common issues included:
not showing how the individual or social action would engage with the work of a non-government organisation
not showing how the examples of individual or social action could prevent violence against women and girls.",,50
Health and Physical Education,Health and Human Development,,,Year 12,Final Exam,Post Exam Report,2025,,VCEHHDERA,VCEHHD25EQA9,VCEHHDERA,StudentResponse,Question 9a,,,The following is an example of a high-scoring response:,51
Health and Physical Education,Health and Human Development,,,Year 12,Final Exam,Post Exam Report,2025,,VCEHHDERA,VCEHHD25EQA9,VCEHHDERA,ExaminerCommentary,Question 9b,,"Students firstly needed to identify an outcome of preventing violence against women and girls, which could include:
reduced injuries, harm, abuse or trauma
reduced coercive control, child marriages, sexual assault or domestic violence
increased feelings of safety, empowerment or self-worth
reduced stress or anxiety
increased social connection
reduced gender discrimination.
The outcomes then needed to be linked to two dimensions of health and wellbeing. Students needed to provide specific examples of the dimensions rather than generic statements. For example, in relation to physical health and wellbeing, the generic statement of ‘complete daily tasks’ was too vague. Students needed to provide a more specific example, such as undertaking physical activity.",,52
Health and Physical Education,Health and Human Development,,,Year 12,Final Exam,Post Exam Report,2025,,VCEHHDERA,VCEHHD25EQA9,VCEHHDERA,EnhancedStrategies,Question 9b,,"In relation to spiritual health and wellbeing, a common example was ‘increased sense of belonging’, which was not clear on who or what the sense of belonging related to. Higher-scoring responses would specify belonging to their local community or cultural group, for example.",,53
Health and Physical Education,Health and Human Development,,,Year 12,Final Exam,Post Exam Report,2025,,VCEHHDERA,VCEHHD25EQA9,VCEHHDERA,ExaminerCommentary,Question 9b,,"Some students discussed the impact of violence against women and girls rather than the impact of preventing violence, which did not address the question.",,54
Health and Physical Education,Health and Human Development,,,Year 12,Final Exam,Post Exam Report,2025,,VCEHHDERA,VCEHHD25EQA9,VCEHHDERA,StudentResponse,Question 9b,,,The following is an example of a high-scoring response:,55
Health and Physical Education,Health and Human Development,,,Year 12,Final Exam,Post Exam Report,2025,,VCEHHDERA,VCEHHD25EQA10,VCEHHDERA,ExaminerCommentary,Question 10a,,"Possible answers included:
conflict
war
climate change
rising sea levels
violation of human rights
natural disasters
poverty
civil unrest
famine
persecution.
Responses such as ‘fighting’ were not specific enough and could relate to fighting within a family, for example, and therefore not relate to mass migration.",,56
Health and Physical Education,Health and Human Development,,,Year 12,Final Exam,Post Exam Report,2025,,VCEHHDERA,VCEHHD25EQA10,VCEHHDERA,EnhancedStrategies,Question 10b,,"This question was marked holistically using a rubric, with high-scoring responses expected to demonstrate the following competencies:
detailed analysis of at least two implications of mass migration
at least two detailed and meaningful links to different dimensions of health and wellbeing and/or health status
Implications associated with mass migration (positive or negative) could include any of:
migrants may run out of money
issues communicating due to language barriers
insecure accommodation or housing
living in temporary accommodation without the required resources
inability to access health care
migrants can be exploited without status for work
migrants may experience racism
inability to access education and employment
loss of identity
women may experience violence
overcrowded living conditions
living in fear for their own safety, or a greater sense of safety on arrival
food insecurity.
Higher-scoring responses were able to analyse implications rather than just stating them. Students then needed to provide a meaningful link between the implications and health outcomes.",,57
Health and Physical Education,Health and Human Development,,,Year 12,Final Exam,Post Exam Report,2025,,VCEHHDERA,VCEHHD25EQA10,VCEHHDERA,LimitedStrategies,Question 10b,,"Common issues included:
being too general, such as stating that mass migration ‘impacted health status’. Responses should include a specific measure of health status, such as life expectancy or burden of disease and should indicate whether the impact was an increase or a decrease
not being specific when referring to dimensions of health and wellbeing. For example, if referring to physical health and wellbeing, students needed to indicate what aspect of this was impacted and whether the impact was an increase or a decrease
linking the implications of mass migration to human development rather than health outcomes. This did not address the question
discussing the impacts of the causes of mass migration, such as war, which did not address the question.",,58
Health and Physical Education,Health and Human Development,,,Year 12,Final Exam,Post Exam Report,2025,,VCEHHDERA,VCEHHD25EQA10,VCEHHDERA,StudentResponse,Question 10b,,,The following is an example of a high-scoring response:,59
Health and Physical Education,Health and Human Development,,,Year 12,Final Exam,Post Exam Report,2025,,VCEHHDERA,VCEHHD25EQA11,VCEHHDERA,ExaminerCommentary,Question 11a,,"The most common SDGs identified were SDG 4 ‘Quality education’ and SDG 5 ‘Gender equality’. Some students identified other SDGs, such as SDG 3 ‘Good health and well-being’ and SDG 1 ‘No poverty’. These were accepted; however, students generally could not explain how these SDGs were reflected in the GPE.
Students needed to show an understanding of their selected SDG through aspects such as:
SDG 4 ‘Quality education’:
all children having access to primary and secondary education
universal literacy and numeracy
qualified and trained teachers
inclusive and safe schools
access to quality pre-primary education
eliminate discrimination in education for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations
SDG 5 ‘Gender equality’:
end discrimination against women and girls
end all violence against women and girls
eliminate forced marriages
value unpaid care
universal access to reproductive health care and rights.",,60
Health and Physical Education,Health and Human Development,,,Year 12,Final Exam,Post Exam Report,2025,,VCEHHDERA,VCEHHD25EQA11,VCEHHDERA,LimitedStrategies,Question 11a,,A common issue was referring to women and girls having access to education as a feature of SDG 4; this goal refers to education for both boys and girls.,,61
Health and Physical Education,Health and Human Development,,,Year 12,Final Exam,Post Exam Report,2025,,VCEHHDERA,VCEHHD25EQA11,VCEHHDERA,StudentResponse,Question 11a,,,The following is an example of a high-scoring response:,62
Health and Physical Education,Health and Human Development,,,Year 12,Final Exam,Post Exam Report,2025,,VCEHHDERA,VCEHHD25EQA11,VCEHHDERA,ExaminerCommentary,Question 11b,,"Justifications of the Australian Government working with multilateral aid organisations could have included:
multilateral organisations have greater influence
increases the global reach or scale of the project
greater access to resources, including knowledge
shared expertise
specialist expertise
programs can be delivered in more than one country
greater funding available.",,63
Health and Physical Education,Health and Human Development,,,Year 12,Final Exam,Post Exam Report,2025,,VCEHHDERA,VCEHHD25EQA11,VCEHHDERA,LimitedStrategies,Question 11b,,A common issue was not showing an understanding of multilateral aid organisations.,,64
Health and Physical Education,Health and Human Development,,,Year 12,Final Exam,Post Exam Report,2025,,VCEHHDERA,VCEHHD25EQA11,VCEHHDERA,StudentResponse,Question 11b,,,The following is an example of a high-scoring response:,65
Health and Physical Education,Health and Human Development,,,Year 12,Final Exam,Post Exam Report,2025,,VCEHHDERA,VCEHHD25EQA11,VCEHHDERA,ExaminerCommentary,Question 11c,,"Features of effective aid could include:
a focus on results
sustainability
transparency
a focus on women and girls
cultural appropriateness
a focus on a specific need
alignment with an action area of the Ottawa Charter
a focus on local people
monitoring or evaluation
education.",,66
Health and Physical Education,Health and Human Development,,,Year 12,Final Exam,Post Exam Report,2025,,VCEHHDERA,VCEHHD25EQA11,VCEHHDERA,LimitedStrategies,Question 11c,,"Students needed to show a meaningful link between the feature of effective aid and characteristics of human development. A common issue was to list characteristics of human development, rather than showing an understanding of the characteristic.",,67
Health and Physical Education,Health and Human Development,,,Year 12,Final Exam,Post Exam Report,2025,,VCEHHDERA,VCEHHD25EQA11,VCEHHDERA,StudentResponse,Question 11c,,,The following is an example of a high-scoring response:,68
Health and Physical Education,Health and Human Development,,,Year 12,Final Exam,Post Exam Report,2025,,VCEHHDERA,VCEHHD25EQA12,VCEHHDERA,ExaminerCommentary,Question 12,,"For this question students needed to correctly refer to two action areas of the Ottawa Charter for Health Promotion. Students then needed to demonstrate an understanding of how the two action areas could be implemented to increase physical activity. In their response, students were required to show an understanding of health promotion through providing specific examples of the action areas. Students needed to show a meaningful link between their nominated action areas and increasing physical activity of young Australians.
The Ottawa Charter for Health Promotion action areas are:
Develop personal skills
Create supportive environments
Build healthy public policy
Strengthen community action
Reorient health services.",,69
Health and Physical Education,Health and Human Development,,,Year 12,Final Exam,Post Exam Report,2025,,VCEHHDERA,VCEHHD25EQA12,VCEHHDERA,LimitedStrategies,Question 12,,"Common issues included:
discussion of what an ‘individual could do’ rather than how the action area could be used to increase physical activity
not including clear links between the action area and how this would specifically increase physical activity levels. This is where students were required to show understanding of the role of health promotion.",,70
