SubjectArea,Subject,SubjectStreamCode,SubjectStreamName,Band,AssessmentType,AssessmentInformationDetails,AssessmentYears,UnitASCode,ExamReportCode,EQCode,SectionCode,SectionName,QuestionNumber,QuestionLabel,Marks,ContentType,Content,StimulusSource,TextName,TextAuthor,TextQuote,ExamQuestion,ImageRef,Sequence
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ER,,C,,,,20,Instruction,"Section C (1 question, 20 marks)",,,,,,,13
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERA,,A,Analytical response to a text,,,20,Header,Section A: Analytical response to a text,,,,,,,14
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERA,,A,Analytical response to a text,,,,Instruction,You must write an analytical response to a selected text on one of the topics (either i or ii) provided for that text.,,,,,,,15
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERA,,A,Analytical response to a text,,,,Instruction,"Your response should engage with the ideas, concerns and values raised by the topic and be supported by close reference to the text.",,,,,,,16
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERA,,A,Analytical response to a text,,,,Instruction,"If your selected text is a collection of poetry or short stories, you may write on several poems or stories, or on at least two in close detail.",,,,,,,17
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERA,,A,Analytical response to a text,,,,Instruction,"In the Answer Book, indicate which text you have chosen to write on and whether you have chosen to answer i or ii.",,,,,,,18
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERA,,A,Analytical response to a text,,,,Instruction,Refer to the assessment criteria on page 18.,,,,,,,19
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERA,,A,Analytical response to a text,,,,Instruction,Section A is worth one-third of the total marks for the examination.,,,,,,,20
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERA,VCEENG25EQA1,A,Analytical response to a text,1,Text 1,,Header,Bad Dreams and Other Stories by Tessa Hadley,,Bad Dreams and Other Stories,Tessa Hadley,,,,21
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERA,VCEENG25EQA1,A,Analytical response to a text,1i,Text 1 i,20,Paragraph,,,Bad Dreams and Other Stories,Tessa Hadley,,"How does Bad Dreams and Other Stories depict the consequences of crossing boundaries?

OR",,22
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERA,VCEENG25EQA1,A,Analytical response to a text,1ii,Text 1 ii,20,Paragraph,,,Bad Dreams and Other Stories,Tessa Hadley,,Relationships act as catalysts for self-discovery in Bad Dreams and Other Stories. Discuss.,,23
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERA,VCEENG25EQA2,A,Analytical response to a text,2,Text 2,,Header,Born a Crime by Trevor Noah,,Born a Crime,Trevor Noah,,,,24
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERA,VCEENG25EQA2,A,Analytical response to a text,2i,Text 2 i,20,Paragraph,,,Born a Crime,Trevor Noah,,"In Born a Crime, women exert the most influence on Noah's life. To what extent do you agree?

OR",,25
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERA,VCEENG25EQA2,A,Analytical response to a text,2ii,Text 2 ii,20,Paragraph,,,Born a Crime,Trevor Noah,"'They're free, they've been taught how to fish, but no one will give them a fishing rod.'",How does Born a Crime demonstrate the difficulties of escaping inequality?,,26
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERA,VCEENG25EQA3,A,Analytical response to a text,3,Text 3,,Header,Chronicle of a Death Foretold by Gabriel García Márquez,,Chronicle of a Death Foretold,Gabriel García Márquez,,,,27
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERA,VCEENG25EQA3,A,Analytical response to a text,3i,Text 3 i,20,Paragraph,,,Chronicle of a Death Foretold,Gabriel García Márquez,"'Three people ... confirmed that the episode had taken place, but four others weren't sure.'","How is the idea of truth explored in Chronicle of a Death Foretold?

OR",,28
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERA,VCEENG25EQA3,A,Analytical response to a text,3ii,Text 3 ii,20,Paragraph,,,Chronicle of a Death Foretold,Gabriel García Márquez,,"Despite their lack of power, it is women who display the most courage in Chronicle of a Death Foretold. Do you agree?",,29
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERA,VCEENG25EQA4,A,Analytical response to a text,4,Text 4,,Header,False Claims of Colonial Thieves by Charmaine Papertalk Green and John Kinsella,,False Claims of Colonial Thieves,Charmaine Papertalk Green and John Kinsella,,,,30
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERA,VCEENG25EQA4,A,Analytical response to a text,4i,Text 4 i,20,Paragraph,,,False Claims of Colonial Thieves,Charmaine Papertalk Green and John Kinsella,"'How can I but take up the call, Charmaine, and yarn right back at you - it's what we do when we connect ...'","How does False Claims of Colonial Thieves highlight the necessity of solidarity?

OR",,31
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERA,VCEENG25EQA4,A,Analytical response to a text,4ii,Text 4 ii,20,Paragraph,,,False Claims of Colonial Thieves,Charmaine Papertalk Green and John Kinsella,'Why are we still invisible?',"False Claims of Colonial Thieves is a cry for justice.
To what extent do you agree?",,32
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERA,VCEENG25EQA5,A,Analytical response to a text,5,Text 5,,Header,Flames by Robbie Arnott,,Flames,Robbie Arnott,,,,33
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERA,VCEENG25EQA5,A,Analytical response to a text,5i,Text 5 i,20,Paragraph,,,Flames,Robbie Arnott,,"Love and destruction are inseparable in Flames. Discuss.

OR",,34
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERA,VCEENG25EQA5,A,Analytical response to a text,5ii,Text 5 ii,20,Paragraph,,,Flames,Robbie Arnott,,"In Flames, Arnott condemns the isolation caused by modern society. Do you agree?",,35
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERA,VCEENG25EQA6,A,Analytical response to a text,6,Text 6,,Header,Ghost Wall by Sarah Moss,,Ghost Wall,Sarah Moss,,,,36
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERA,VCEENG25EQA6,A,Analytical response to a text,6i,Text 6 i,20,Paragraph,,,Ghost Wall,Sarah Moss,,"Ghost Wall warns of the danger of glorifying the past. To what extent do you agree?

OR",,37
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERA,VCEENG25EQA6,A,Analytical response to a text,6ii,Text 6 ii,20,Paragraph,,,Ghost Wall,Sarah Moss,,"In Ghost Wall, the natural world is a place of both freedom and control. Discuss.",,38
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERA,VCEENG25EQA7,A,Analytical response to a text,7,Text 7,,Header,"Go, Went, Gone by Jenny Erpenbeck",,"Go, Went, Gone",Jenny Erpenbeck,,,,39
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERA,VCEENG25EQA7,A,Analytical response to a text,7i,Text 7 i,20,Paragraph,,,"Go, Went, Gone",Jenny Erpenbeck,"'... none stands above the other, rather each complements the other ...'","Go, Went, Gone demonstrates that there are more similarities than differences in human experiences.
Do you agree?

OR",,40
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERA,VCEENG25EQA7,A,Analytical response to a text,7ii,Text 7 ii,20,Paragraph,,,"Go, Went, Gone",Jenny Erpenbeck,,"In Go, Went, Gone, language has the power to both connect and exclude. Discuss.",,41
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERA,VCEENG25EQA8,A,Analytical response to a text,8,Text 8,,Header,High Ground by Stephen Johnson,,High Ground,Stephen Johnson,,,,42
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERA,VCEENG25EQA8,A,Analytical response to a text,8i,Text 8 i,20,Paragraph,,,High Ground,Stephen Johnson,,"High Ground celebrates the resilience of Indigenous cultures despite colonisation. Discuss.

OR",,43
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERA,VCEENG25EQA8,A,Analytical response to a text,8ii,Text 8 ii,20,Paragraph,,,High Ground,Stephen Johnson,,To what extent is revenge a form of justice in High Ground?,,44
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERA,VCEENG25EQA9,A,Analytical response to a text,9,Text 9,,Header,Jane Eyre by Charlotte Brontë,,Jane Eyre,Charlotte Brontë,,,,45
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERA,VCEENG25EQA9,A,Analytical response to a text,9i,Text 9 i,20,Paragraph,,,Jane Eyre,Charlotte Brontë,,"How does Brontë highlight the danger of acting on emotion rather than reason in Jane Eyre?

OR",,46
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERA,VCEENG25EQA9,A,Analytical response to a text,9ii,Text 9 ii,20,Paragraph,,,Jane Eyre,Charlotte Brontë,'I am no bird; and no net ensnares me ...',"Jane Eyre is primarily a novel about the pursuit of personal freedom.
Do you agree?",,47
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERA,VCEENG25EQA10,A,Analytical response to a text,10,Text 10,,Header,My Brilliant Career by Miles Franklin,,My Brilliant Career,Miles Franklin,,,,48
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERA,VCEENG25EQA10,A,Analytical response to a text,10i,Text 10 i,20,Paragraph,,,My Brilliant Career,Miles Franklin,"'Hopeless, homeless, aimless, shameless souls ...'","The world of My Brilliant Career is harshly unforgiving.
To what extent do you agree?

OR",,49
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERA,VCEENG25EQA10,A,Analytical response to a text,10ii,Text 10 ii,20,Paragraph,,,My Brilliant Career,Miles Franklin,,"In My Brilliant Career, choice is a privilege. Discuss.",,50
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERA,VCEENG25EQA11,A,Analytical response to a text,11,Text 11,,Header,"New and Selected Poems, Volume One by Mary Oliver",,"New and Selected Poems, Volume One",Mary Oliver,,,,51
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERA,VCEENG25EQA11,A,Analytical response to a text,11i,Text 11 i,20,Paragraph,,,"New and Selected Poems, Volume One",Mary Oliver,,"Oliver's poems suggest that it is easy to overlook what is important. Discuss.

OR",,52
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERA,VCEENG25EQA11,A,Analytical response to a text,11ii,Text 11 ii,20,Paragraph,,,"New and Selected Poems, Volume One",Mary Oliver,"'Look, I want to love this world as though it's the last chance I'm ever going to get to be alive and know it.'","Oliver's poems are a celebration of life.
Do you agree?",,53
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERA,VCEENG25EQA12,A,Analytical response to a text,12,Text 12,,Header,Oedipus the King by Sophocles,,Oedipus the King,Sophocles,,,,54
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERA,VCEENG25EQA12,A,Analytical response to a text,12i,Text 12 i,20,Paragraph,,,Oedipus the King,Sophocles,,"In Oedipus the King, Sophocles suggests that seeking the truth is dangerous. Discuss.

OR",,55
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERA,VCEENG25EQA12,A,Analytical response to a text,12ii,Text 12 ii,20,Paragraph,,,Oedipus the King,Sophocles,,"In Oedipus the King, there are no right choices. Do you agree?",,56
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERA,VCEENG25EQA13,A,Analytical response to a text,13,Text 13,,Header,Rainbow's End by Jane Harrison,,Rainbow's End,Jane Harrison,,,,57
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERA,VCEENG25EQA13,A,Analytical response to a text,13i,Text 13 i,20,Paragraph,,,Rainbow's End,Jane Harrison,"'Knowledge is power, ladies.'","Harrison demonstrates this is true for the women in Rainbow's End.
Do you agree?

OR",,58
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERA,VCEENG25EQA13,A,Analytical response to a text,13ii,Text 13 ii,20,Paragraph,,,Rainbow's End,Jane Harrison,,Rainbow's End shows that lasting change requires more than individual effort. Discuss.,,59
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERA,VCEENG25EQA14,A,Analytical response to a text,14,Text 14,,Header,Requiem for a Beast by Matt Ottley,,Requiem for a Beast,Matt Ottley,,,,60
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERA,VCEENG25EQA14,A,Analytical response to a text,14i,Text 14 i,20,Paragraph,,,Requiem for a Beast,Matt Ottley,'For there is another darkness coming.',"Requiem for a Beast suggests it is possible to escape the cycle of history repeating itself.
Do you agree?

OR",,61
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERA,VCEENG25EQA14,A,Analytical response to a text,14ii,Text 14 ii,20,Paragraph,,,Requiem for a Beast,Matt Ottley,,How does Ottley challenge traditional notions of masculinity in Requiem for a Beast?,,62
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERA,VCEENG25EQA15,A,Analytical response to a text,15,Text 15,,Header,Sunset Boulevard by Billy Wilder,,Sunset Boulevard,Billy Wilder,,,,63
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERA,VCEENG25EQA15,A,Analytical response to a text,15i,Text 15 i,20,Paragraph,,,Sunset Boulevard,Billy Wilder,,"To what extent is Sunset Boulevard about the loss of control?

OR",,64
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERA,VCEENG25EQA15,A,Analytical response to a text,15ii,Text 15 ii,20,Paragraph,,,Sunset Boulevard,Billy Wilder,,"In Sunset Boulevard, Wilder suggests that individuals can be both victims and villains. Discuss.",,65
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERA,VCEENG25EQA16,A,Analytical response to a text,16,Text 16,,Header,The Complete Stories by David Malouf,,The Complete Stories,David Malouf,,,,66
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERA,VCEENG25EQA16,A,Analytical response to a text,16i,Text 16 i,20,Paragraph,,,The Complete Stories,David Malouf,,"In The Complete Stories, Malouf suggests that everyday life can be significant. Discuss.

OR",,67
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERA,VCEENG25EQA16,A,Analytical response to a text,16ii,Text 16 ii,20,Paragraph,,,The Complete Stories,David Malouf,,The Complete Stories demonstrates that it is harder to understand yourself than it is to understand others. Do you agree?,,68
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERA,VCEENG25EQA17,A,Analytical response to a text,17,Text 17,,Header,The Erratics by Vicki Laveau-Harvie,,The Erratics,Vicki Laveau-Harvie,,,,69
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERA,VCEENG25EQA17,A,Analytical response to a text,17i,Text 17 i,20,Paragraph,,,The Erratics,Vicki Laveau-Harvie,,"The Erratics suggests that betrayal is the most destructive force of all. Do you agree?

OR",,70
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERA,VCEENG25EQA17,A,Analytical response to a text,17ii,Text 17 ii,20,Paragraph,,,The Erratics,Vicki Laveau-Harvie,'Blood calls to blood.',"In The Erratics, Laveau-Harvie highlights the tension between family obligation and self-preservation.
Discuss.",,71
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERA,VCEENG25EQA18,A,Analytical response to a text,18,Text 18,,Header,The Memory Police by Yōko Ogawa,,The Memory Police,Yōko Ogawa,,,,72
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERA,VCEENG25EQA18,A,Analytical response to a text,18i,Text 18 i,20,Paragraph,,,The Memory Police,Yōko Ogawa,,"How does The Memory Police suggest that memories are essential to give life meaning?

OR",,73
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERA,VCEENG25EQA18,A,Analytical response to a text,18ii,Text 18 ii,20,Paragraph,,,The Memory Police,Yōko Ogawa,,"In The Memory Police, silence is both a tool of oppression and a tool of resistance. Discuss.",,74
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERA,VCEENG25EQA19,A,Analytical response to a text,19,Text 19,,Header,Twelfth Night by William Shakespeare,,Twelfth Night,William Shakespeare,,,,75
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERA,VCEENG25EQA19,A,Analytical response to a text,19i,Text 19 i,20,Paragraph,,,Twelfth Night,William Shakespeare,,"To what extent does Shakespeare mock social expectations in Twelfth Night?

OR",,76
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERA,VCEENG25EQA19,A,Analytical response to a text,19ii,Text 19 ii,20,Paragraph,,,Twelfth Night,William Shakespeare,,Twelfth Night suggests that truth leads to happiness. Do you agree?,,77
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERA,VCEENG25EQA20,A,Analytical response to a text,20,Text 20,,Header,We Have Always Lived in the Castle by Shirley Jackson,,We Have Always Lived in the Castle,Shirley Jackson,,,,78
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERA,VCEENG25EQA20,A,Analytical response to a text,20i,Text 20 i,20,Paragraph,,,We Have Always Lived in the Castle,Shirley Jackson,"'I shall be forced to invent, to fictionalize, to imagine.'","In the world of We Have Always Lived in the Castle, truth is of little importance.
Do you agree?

OR",,79
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERA,VCEENG25EQA20,A,Analytical response to a text,20ii,Text 20 ii,20,Paragraph,,,We Have Always Lived in the Castle,Shirley Jackson,,Change is unwelcome in We Have Always Lived in the Castle. Discuss.,,80
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERB,,B,Creating a text,,,20,Header,Section B: Creating a text,,,,,,,81
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERB,,B,Creating a text,,,,Instruction,"In this section, you must create one written text (not including song, poetry or verse).",,,,,,,82
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERB,,B,Creating a text,,,,Instruction,"In your text, you must include meaningful connections with ideas drawn from one of the Frameworks of Ideas the title provided for your selected Framework of Ideas at least one piece of stimulus material provided for your selected Framework of Ideas.",,,,,,,83
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERB,,B,Creating a text,,,,Instruction,"You must develop your text with a clear purpose, incorporating at least one of the following: to explain, to express, to reflect, to argue.",,,,,,,84
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERB,,B,Creating a text,,,,Instruction,"You must write an effective and cohesive text that demonstrates fluency through your selection of vocabulary, text structure(s) and language features.",,,,,,,85
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERB,,B,Creating a text,,,,Instruction,Refer to the assessment criteria on page 18.,,,,,,,86
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERB,,B,Creating a text,,,,Instruction,Section B is worth one-third of the total marks for the examination.,,,,,,,87
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERB,VCEENG25EQB1,B,Creating a text,1,Framework 1: Writing about country,,Framework,Framework 1: Writing about country,,,,,,,88
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERB,VCEENG25EQB1,B,Creating a text,1,Framework 1: Writing about country,,Instruction,Write a text that explores ideas about country.,,,,,,,89
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERB,VCEENG25EQB1,B,Creating a text,1,Framework 1: Writing about country,,Instruction,You must use the title provided.,,,,,,,90
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERB,VCEENG25EQB1,B,Creating a text,1,Framework 1: Writing about country,,Instruction,You must use at least one of the following stimuli.,,,,,,,91
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERB,VCEENG25EQB1,B,Creating a text,1,Framework 1: Writing about country,,Title,Origins,,,,,,,92
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERB,VCEENG25EQB1,B,Creating a text,1.1,Framework 1 Stimulus 1,,Stimulus,"'My body might go, but my heart can never leave.'",,,,,,,93
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERB,VCEENG25EQB1,B,Creating a text,1.2,Framework 1 Stimulus 2,,Stimulus,[Image stimulus],,,,,,VCEENG25_P9_1.jpeg,94
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERB,VCEENG25EQB1,B,Creating a text,1.3,Framework 1 Stimulus 3,,Stimulus,"'... there is no separation between people, animals, plants, land, sea and sky.
It is all Country.
It is all family.
And everyone is part of the story.'",,,,,,,95
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERB,VCEENG25EQB2,B,Creating a text,2,Framework 2: Writing about protest,,Framework,Framework 2: Writing about protest,,,,,,,96
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERB,VCEENG25EQB2,B,Creating a text,2,Framework 2: Writing about protest,,Instruction,Write a text that explores ideas about protest.,,,,,,,97
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERB,VCEENG25EQB2,B,Creating a text,2,Framework 2: Writing about protest,,Instruction,You must use the title provided.,,,,,,,98
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERB,VCEENG25EQB2,B,Creating a text,2,Framework 2: Writing about protest,,Instruction,You must use at least one of the following stimuli.,,,,,,,99
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERB,VCEENG25EQB2,B,Creating a text,2,Framework 2: Writing about protest,,Title,"Small Acts, Big Wins",,,,,,,100
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERB,VCEENG25EQB2,B,Creating a text,2.1,Framework 2 Stimulus 1,,Stimulus,"'""I want to change the world,"" said Tiny Dragon.
""Start with the next person who needs your help,"" replied Big Panda.'",,,,,,,101
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERB,VCEENG25EQB2,B,Creating a text,2.2,Framework 2 Stimulus 2,,Stimulus,[Image stimulus],,,,,,VCEENG25_P10_1.jpeg,102
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERB,VCEENG25EQB2,B,Creating a text,2.3,Framework 2 Stimulus 3,,Stimulus,"'And now my voice is louder than ever.
Louder because people have joined me
and together we make a chorus,
standing up for what we believe.'",,,,,,,103
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERB,VCEENG25EQB3,B,Creating a text,3,Framework 3: Writing about personal journeys,,Framework,Framework 3: Writing about personal journeys,,,,,,,104
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERB,VCEENG25EQB3,B,Creating a text,3,Framework 3: Writing about personal journeys,,Instruction,Write a text that explores ideas about personal journeys.,,,,,,,105
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERB,VCEENG25EQB3,B,Creating a text,3,Framework 3: Writing about personal journeys,,Instruction,You must use the title provided.,,,,,,,106
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERB,VCEENG25EQB3,B,Creating a text,3,Framework 3: Writing about personal journeys,,Instruction,You must use at least one of the following stimuli.,,,,,,,107
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERB,VCEENG25EQB3,B,Creating a text,3,Framework 3: Writing about personal journeys,,Title,Changing Direction,,,,,,,108
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERB,VCEENG25EQB3,B,Creating a text,3.1,Framework 3 Stimulus 1,,Stimulus,"'You were looking for the key for years
But the door was always open!'",,,,,,,109
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERB,VCEENG25EQB3,B,Creating a text,3.2,Framework 3 Stimulus 2,,Stimulus,[Image stimulus],,,,,,VCEENG25_P11_1.jpeg,110
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERB,VCEENG25EQB3,B,Creating a text,3.3,Framework 3 Stimulus 3,,Stimulus,"'In the midst of my journey through life
I found myself in a dark forest,
Where the clear way forward was lost.'",,,,,,,111
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERC,VCEENG25EQC1,C,Analysis of argument and language,1,Section C,20,Header,Section C: Analysis of argument and language,,,,,,,112
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERC,VCEENG25EQC1,C,Analysis of argument and language,1,,,Instruction,"In this section, you are required to analyse the use of argument(s) and language to persuade an intended audience to share the point of view expressed in a persuasive text.",,,,,,,113
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERC,VCEENG25EQC1,C,Analysis of argument and language,1,,,Instruction,"Read the background information on this page and the material on pages 16 and 17, and write an analytical response to the task below.",,,,,,,114
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERC,VCEENG25EQC1,C,Analysis of argument and language,1,,,Instruction,"For the purposes of this task, the term 'language' refers to written and spoken language, and 'visuals' refers to images and graphics.",,,,,,,115
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERC,VCEENG25EQC1,C,Analysis of argument and language,1,,,Instruction,Refer to the assessment criteria on page 18.,,,,,,,116
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERC,VCEENG25EQC1,C,Analysis of argument and language,1,,,Instruction,Section C is worth one-third of the total marks for the examination.,,,,,,,117
English,English,,,Year 12,Final Exam,Exam Questions,2025,,VCEENG25ERC,VCEENG25EQC1,C,Analysis of argument and language,1,Task,,Task,"Write an analysis of the ways in which arguments, written and spoken language, and visuals are used
in the material on pages 16 and 17 to try to persuade the intended audience to share the point of view
presented.",,,,,,,118
