SubjectArea,Subject,TaskType,Band,AssessmentType,AssessmentInformationDetails,AssessmentYears,MarkingGroup,MarkingGroupWeight,SubCriteria,SubCriteriaColumn,Grade,GradeMin,GradeMax,Code,Sequence,Description,ProgressionDescription
English,English,Analytical Response - Film,12,Formative Rubric,School Marking Guide,2024,Response to topic using evidence,30%,Responds to Topic,C,D/D+,D/D+,D/D+,VCELF12-RTE-TOP-05,5,Discusses VICs relevant to topic,"At this level, students demonstrate a basic understanding of textual analysis and writing skills. They are able to refer to key moments from the text and use evidence by directly quoting the text or referencing relevant moments. They can identify basic text features such as form and basic literary techniques. They organise paragraphs into a clear introduction, body paragraphs, and conclusion. They use basic transitional words and phrases to connect ideas. They attempt to maintain an appropriate tone in their writing, although this may still be inconsistent. Their syntax is characterised by basic sentences with limited variety, reflecting a developing command of sentence structure. Their word choice is limited, prioritising correct spelling, and they generally apply basic punctuation effectively, including capital letters and full stops."
English,English,Analytical Response - Film,12,Formative Rubric,School Marking Guide,2024,Response to topic using evidence,30%,Responds to Topic,C,E/E+,E/E+,E/E+,VCELF12-RTE-TOP-06,6,Insufficient evidence,"At this level, students demonstrate limited proficiency in various aspects of textual analysis and writing. There is insufficient evidence of their understanding of the values, ideas, and concerns (VICs) of the text, as well as inadequate responses to the topic. Their use of evidence is characterised by gross inaccuracies in references or quotes. They can state the text type and outline main events and characters at a basic level without demonstrating deeper analysis. While they use paragraphs to organise their writing, cohesion is lacking. Grammatical errors significantly impact the clarity of their ideas, and they struggle with spelling, particularly with sight and high-frequency words."
English,English,Analytical Response - Film,12,Formative Rubric,School Marking Guide,2024,Response to topic using evidence,30%,Selects and uses evidence,D,A+,A,A+,VCELF12-RTE-EVI-01,1,Analyses highly relevant and nuanced textual evidence to support a response to the topic.,"At this level, students demonstrate an ability to delve deeply into the text, providing profound insights into the presentation of ideas. They insightfully examine and critique the manner in which ideas are presented, showcasing a sophisticated understanding of the text's nuances and complexities. Their contention and arguments are nuanced and insightful, addressing the demands of the topic with depth and sophistication. They develop their arguments with precision and clarity, providing thorough analysis and interpretation. They analyse how relevant text structures, language features, and vocabulary choices contribute to the text's overall meaning and message, demonstrating an advanced understanding of literary techniques and their impact on interpretation. They also analyze how setting contributes to the expression of values, ideas, and concerns, showcasing a deep appreciation for the interplay between narrative elements and thematic development. Their ideas and arguments are strategically organised to enhance the logical flow and strengthen the overall response to the topic, creating a compelling and coherent argumentative structure. They demonstrate mastery in the use of varied and complex sentence structures, employing them effectively to emphasise key points and create a rhythmic flow that enhances readability and engagement. Their spelling is encompasses high-complexity words with accuracy and consistency. They expertly use a full range of punctuation marks to enhance readability and support syntax, showcasing a command of punctuation conventions that elevates the sophistication and clarity of their writing."
English,English,Analytical Response - Film,12,Formative Rubric,School Marking Guide,2024,Response to topic using evidence,30%,Selects and uses evidence,D,B/B+,B/B+,B/B+,VCELF12-RTE-EVI-02,2,Provides detailed textual evidence that supports the paragraph's argument,"At this level, students demonstrate a solid understanding of textual analysis and writing skills, showing progress in their ability to engage with the text critically. They attempt to explain how values, ideas, and concerns (VICs) are presented in the text. Their contention addresses the demands of the topic. They provide detailed textual evidence that supports each paragraph's argument. They explain how relevant text features shape the audience's understanding and response to the text, indicating a growing understanding of literary techniques and their impact on interpretation. Their body paragraphs are structured to clearly convey each argument. They maintain a formal analytical tone throughout their writing. Their spelling is accurate across a broad vocabulary, including more challenging words, with minimal errors. They correctly and effectively use a wide range of punctuation marks, including more advanced ones like square brackets and ellipses where appropriate."
English,English,Analytical Response - Film,12,Formative Rubric,School Marking Guide,2024,Response to topic using evidence,30%,Selects and uses evidence,D,C/C+,C/C+,C/C+,VCELF12-RTE-EVI-03,3,Selects textual evidence that is relevant to topic.,"At this level, students demonstrate a developing understanding of textual analysis and writing skills. They list values, ideas, and concerns (VICs) present in the text. They state a contention that attempts to address the demands of the topic, including command words and VICs, though it may lack depth. They select textual evidence that is relevant to the topic. They provide examples of text features such as vocabulary choices, conventions of form, and literary techniques. They explain how characterisation contributes to the expression of VICs. Their introduction expresses a clear contention in response to the topic, and body paragraphs contain one argument each. While they attempt to use transitional words and phrases to create smooth transitions between paragraphs and ideas, their use of these may lack consistency or sophistication. Their syntax demonstrates a mix of simple and complex sentence structures, with occasional grammatical errors that do not significantly impact clarity. They spell most common and high-frequency words correctly and attempt higher vocabulary with identifiable target words, although errors may still occur. They apply punctuation, such as commas and quotation marks, effectively, enhancing readability and clarity in their writing."
English,English,Analytical Response - Film,12,Formative Rubric,School Marking Guide,2024,Response to topic using evidence,30%,Selects and uses evidence,D,D/D+,D/D+,D/D+,VCELF12-RTE-EVI-04,4,Directly quotes text and/or references relevant moments,"At this level, students demonstrate a basic understanding of textual analysis and writing skills. They are able to refer to key moments from the text and use evidence by directly quoting the text or referencing relevant moments. They can identify basic text features such as form and basic literary techniques. They organise paragraphs into a clear introduction, body paragraphs, and conclusion. They use basic transitional words and phrases to connect ideas. They attempt to maintain an appropriate tone in their writing, although this may still be inconsistent. Their syntax is characterised by basic sentences with limited variety, reflecting a developing command of sentence structure. Their word choice is limited, prioritising correct spelling, and they generally apply basic punctuation effectively, including capital letters and full stops."
English,English,Analytical Response - Film,12,Formative Rubric,School Marking Guide,2024,Response to topic using evidence,30%,Selects and uses evidence,D,E/E+,E/E+,E/E+,VCELF12-RTE-EVI-05,5,Provides grossly inaccurate references or quotes,"At this level, students demonstrate limited proficiency in various aspects of textual analysis and writing. There is insufficient evidence of their understanding of the values, ideas, and concerns (VICs) of the text, as well as inadequate responses to the topic. Their use of evidence is characterised by gross inaccuracies in references or quotes. They can state the text type and outline main events and characters at a basic level without demonstrating deeper analysis. While they use paragraphs to organise their writing, cohesion is lacking. Grammatical errors significantly impact the clarity of their ideas, and they struggle with spelling, particularly with sight and high-frequency words."
English,English,Analytical Response - Film,12,Formative Rubric,School Marking Guide,2024,Textual features,30%,Language/ Cinematic features,E,A+,A+,A+,VCELF12-TXF-LCF-01,1,"Analyses how relevant text structures, language features and vocabulary choices contribute to the text's overall meaning and message","At this level, students demonstrate an ability to delve deeply into the text, providing profound insights into the presentation of ideas. They insightfully examine and critique the manner in which ideas are presented, showcasing a sophisticated understanding of the text's nuances and complexities. Their contention and arguments are nuanced and insightful, addressing the demands of the topic with depth and sophistication. They develop their arguments with precision and clarity, providing thorough analysis and interpretation. They analyse how relevant text structures, language features, and vocabulary choices contribute to the text's overall meaning and message, demonstrating an advanced understanding of literary techniques and their impact on interpretation. They also analyze how setting contributes to the expression of values, ideas, and concerns, showcasing a deep appreciation for the interplay between narrative elements and thematic development. Their ideas and arguments are strategically organised to enhance the logical flow and strengthen the overall response to the topic, creating a compelling and coherent argumentative structure. They demonstrate mastery in the use of varied and complex sentence structures, employing them effectively to emphasise key points and create a rhythmic flow that enhances readability and engagement. Their spelling is encompasses high-complexity words with accuracy and consistency. They expertly use a full range of punctuation marks to enhance readability and support syntax, showcasing a command of punctuation conventions that elevates the sophistication and clarity of their writing."
English,English,Analytical Response - Film,12,Formative Rubric,School Marking Guide,2024,Textual features,30%,Language/ Cinematic features,E,A,B/B+,A,VCELF12-TXF-LCF-02,2,Explains how relevant text features shape the audience's understanding and response to the text.,"At this level, students demonstrate an exceptional ability to engage deeply with the text, uncovering interconnected ideas and values with insightful analysis. They provide thorough explanations of how these ideas and values are intertwined within the text. Their contention and focused arguments are developed with precision and clarity, effectively addressing the demands of the topic and guiding the reader through a coherent and compelling argumentative structure. They analyse highly relevant and nuanced textual evidence to support their response to the topic. They explain how plot structure and/or characterisation contribute to the expression of values, ideas, and concerns. Their writing maintains coherence and cohesion through the effective use of transitional phrases, which seamlessly guide the reader through the overall structure and reinforce the central argument. They consistently maintain a sophisticated academic analytical tone throughout their writing. They employ a variety of sentence structures with skill and precision, including complex forms, to sequence and emphasise ideas."
English,English,Analytical Response - Film,12,Formative Rubric,School Marking Guide,2024,Textual features,30%,Language/ Cinematic features,E,C/C+,C/C+,C/C+,VCELF12-TXF-LCF-03,3,"Describes text features such as vocabulary choices, conventions of form, and literary/cinematic techniques (e.g. low, warm lighting; symbol)","At this level, students demonstrate a developing understanding of textual analysis and writing skills. They list values, ideas, and concerns (VICs) present in the text. They state a contention that attempts to address the demands of the topic, including command words and VICs, though it may lack depth. They select textual evidence that is relevant to the topic. They provide examples of text features such as vocabulary choices, conventions of form, and literary techniques. They explain how characterisation contributes to the expression of VICs. Their introduction expresses a clear contention in response to the topic, and body paragraphs contain one argument each. While they attempt to use transitional words and phrases to create smooth transitions between paragraphs and ideas, their use of these may lack consistency or sophistication. Their syntax demonstrates a mix of simple and complex sentence structures, with occasional grammatical errors that do not significantly impact clarity. They spell most common and high-frequency words correctly and attempt higher vocabulary with identifiable target words, although errors may still occur. They apply punctuation, such as commas and quotation marks, effectively, enhancing readability and clarity in their writing."
English,English,Analytical Response - Film,12,Formative Rubric,School Marking Guide,2024,Textual features,30%,Language/ Cinematic features,E,D/D+,D/D+,D/D+,VCELF12-TXF-LCF-04,4,Identifies text features such as form and basic literary/cinematic techniques (e.g.simile; lighting),"At this level, students demonstrate a basic understanding of textual analysis and writing skills. They are able to refer to key moments from the text and use evidence by directly quoting the text or referencing relevant moments. They can identify basic text features such as form and basic literary techniques. They organise paragraphs into a clear introduction, body paragraphs, and conclusion. They use basic transitional words and phrases to connect ideas. They attempt to maintain an appropriate tone in their writing, although this may still be inconsistent. Their syntax is characterised by basic sentences with limited variety, reflecting a developing command of sentence structure. Their word choice is limited, prioritising correct spelling, and they generally apply basic punctuation effectively, including capital letters and full stops."
English,English,Analytical Response - Film,12,Formative Rubric,School Marking Guide,2024,Textual features,30%,Language/ Cinematic features,E,E/E+,E/E+,E/E+,VCELF12-TXF-LCF-05,5,States text type,"At this level, students demonstrate limited proficiency in various aspects of textual analysis and writing. There is insufficient evidence of their understanding of the values, ideas, and concerns (VICs) of the text, as well as inadequate responses to the topic. Their use of evidence is characterised by gross inaccuracies in references or quotes. They can state the text type and outline main events and characters at a basic level without demonstrating deeper analysis. While they use paragraphs to organise their writing, cohesion is lacking. Grammatical errors significantly impact the clarity of their ideas, and they struggle with spelling, particularly with sight and high-frequency words."
English,English,Analytical Response - Film,12,Formative Rubric,School Marking Guide,2024,Textual features,30%,"Character, setting, plot",F,A+,A+,A+,VCELF12-TXF-CSP-01,1,Analyses how setting contributes to to expression of VICs,"At this level, students demonstrate an ability to delve deeply into the text, providing profound insights into the presentation of ideas. They insightfully examine and critique the manner in which ideas are presented, showcasing a sophisticated understanding of the text's nuances and complexities. Their contention and arguments are nuanced and insightful, addressing the demands of the topic with depth and sophistication. They develop their arguments with precision and clarity, providing thorough analysis and interpretation. They analyse how relevant text structures, language features, and vocabulary choices contribute to the text's overall meaning and message, demonstrating an advanced understanding of literary techniques and their impact on interpretation. They also analyze how setting contributes to the expression of values, ideas, and concerns, showcasing a deep appreciation for the interplay between narrative elements and thematic development. Their ideas and arguments are strategically organised to enhance the logical flow and strengthen the overall response to the topic, creating a compelling and coherent argumentative structure. They demonstrate mastery in the use of varied and complex sentence structures, employing them effectively to emphasise key points and create a rhythmic flow that enhances readability and engagement. Their spelling is encompasses high-complexity words with accuracy and consistency. They expertly use a full range of punctuation marks to enhance readability and support syntax, showcasing a command of punctuation conventions that elevates the sophistication and clarity of their writing."
English,English,Analytical Response - Film,12,Formative Rubric,School Marking Guide,2024,Textual features,30%,"Character, setting, plot",F,A,A,A,VCELF12-TXF-CSP-02,2,Explains how plot structure and/or characterisation contributes to expression of VICs,"At this level, students demonstrate an exceptional ability to engage deeply with the text, uncovering interconnected ideas and values with insightful analysis. They provide thorough explanations of how these ideas and values are intertwined within the text. Their contention and focused arguments are developed with precision and clarity, effectively addressing the demands of the topic and guiding the reader through a coherent and compelling argumentative structure. They analyse highly relevant and nuanced textual evidence to support their response to the topic. They explain how plot structure and/or characterisation contribute to the expression of values, ideas, and concerns. Their writing maintains coherence and cohesion through the effective use of transitional phrases, which seamlessly guide the reader through the overall structure and reinforce the central argument. They consistently maintain a sophisticated academic analytical tone throughout their writing. They employ a variety of sentence structures with skill and precision, including complex forms, to sequence and emphasise ideas."
English,English,Analytical Response - Film,12,Formative Rubric,School Marking Guide,2024,Textual features,30%,"Character, setting, plot",F,B/B+,C/C+,B/B+,VCELF12-TXF-CSP-03,3,Explains how characterisation contributes to expression of VICs,"At this level, students demonstrate a solid understanding of textual analysis and writing skills, showing progress in their ability to engage with the text critically. They attempt to explain how values, ideas, and concerns (VICs) are presented in the text. Their contention addresses the demands of the topic. They provide detailed textual evidence that supports each paragraph's argument. They explain how relevant text features shape the audience's understanding and response to the text, indicating a growing understanding of literary techniques and their impact on interpretation. Their body paragraphs are structured to clearly convey each argument. They maintain a formal analytical tone throughout their writing. Their spelling is accurate across a broad vocabulary, including more challenging words, with minimal errors. They correctly and effectively use a wide range of punctuation marks, including more advanced ones like square brackets and ellipses where appropriate."
English,English,Analytical Response - Film,12,Formative Rubric,School Marking Guide,2024,Textual features,30%,"Character, setting, plot",F,D/D+,E/E+,D/D+,VCELF12-TXF-CSP-04,4,Outlines main events and characters,"At this level, students demonstrate a basic understanding of textual analysis and writing skills. They are able to refer to key moments from the text and use evidence by directly quoting the text or referencing relevant moments. They can identify basic text features such as form and basic literary techniques. They organise paragraphs into a clear introduction, body paragraphs, and conclusion. They use basic transitional words and phrases to connect ideas. They attempt to maintain an appropriate tone in their writing, although this may still be inconsistent. Their syntax is characterised by basic sentences with limited variety, reflecting a developing command of sentence structure. Their word choice is limited, prioritising correct spelling, and they generally apply basic punctuation effectively, including capital letters and full stops."
English,English,Analytical Response - Film,12,Formative Rubric,School Marking Guide,2024,Writing structure,10%,Structure,G,A+,A+,A+,VCELF12-WRS-STR-01,1,Strategically organise ideas and arguments to enhance the logical flow and strengthen the overall response to the topic.,"At this level, students demonstrate an ability to delve deeply into the text, providing profound insights into the presentation of ideas. They insightfully examine and critique the manner in which ideas are presented, showcasing a sophisticated understanding of the text's nuances and complexities. Their contention and arguments are nuanced and insightful, addressing the demands of the topic with depth and sophistication. They develop their arguments with precision and clarity, providing thorough analysis and interpretation. They analyse how relevant text structures, language features, and vocabulary choices contribute to the text's overall meaning and message, demonstrating an advanced understanding of literary techniques and their impact on interpretation. They also analyze how setting contributes to the expression of values, ideas, and concerns, showcasing a deep appreciation for the interplay between narrative elements and thematic development. Their ideas and arguments are strategically organised to enhance the logical flow and strengthen the overall response to the topic, creating a compelling and coherent argumentative structure. They demonstrate mastery in the use of varied and complex sentence structures, employing them effectively to emphasise key points and create a rhythmic flow that enhances readability and engagement. Their spelling is encompasses high-complexity words with accuracy and consistency. They expertly use a full range of punctuation marks to enhance readability and support syntax, showcasing a command of punctuation conventions that elevates the sophistication and clarity of their writing."
English,English,Analytical Response - Film,12,Formative Rubric,School Marking Guide,2024,Writing structure,10%,Structure,G,A,B/B+,A,VCELF12-WRS-STR-02,2,Structures body paragraphs to clearly convey the paragraph's argument.,"At this level, students demonstrate an exceptional ability to engage deeply with the text, uncovering interconnected ideas and values with insightful analysis. They provide thorough explanations of how these ideas and values are intertwined within the text. Their contention and focused arguments are developed with precision and clarity, effectively addressing the demands of the topic and guiding the reader through a coherent and compelling argumentative structure. They analyse highly relevant and nuanced textual evidence to support their response to the topic. They explain how plot structure and/or characterisation contribute to the expression of values, ideas, and concerns. Their writing maintains coherence and cohesion through the effective use of transitional phrases, which seamlessly guide the reader through the overall structure and reinforce the central argument. They consistently maintain a sophisticated academic analytical tone throughout their writing. They employ a variety of sentence structures with skill and precision, including complex forms, to sequence and emphasise ideas."
English,English,Analytical Response - Film,12,Formative Rubric,School Marking Guide,2024,Writing structure,10%,Structure,G,C/C+,C/C+,C/C+,VCELF12-WRS-STR-03,3,Introduction expresses clear contention in response to topic. Body paragraphs contain one argument.,"At this level, students demonstrate a developing understanding of textual analysis and writing skills. They list values, ideas, and concerns (VICs) present in the text. They state a contention that attempts to address the demands of the topic, including command words and VICs, though it may lack depth. They select textual evidence that is relevant to the topic. They provide examples of text features such as vocabulary choices, conventions of form, and literary techniques. They explain how characterisation contributes to the expression of VICs. Their introduction expresses a clear contention in response to the topic, and body paragraphs contain one argument each. While they attempt to use transitional words and phrases to create smooth transitions between paragraphs and ideas, their use of these may lack consistency or sophistication. Their syntax demonstrates a mix of simple and complex sentence structures, with occasional grammatical errors that do not significantly impact clarity. They spell most common and high-frequency words correctly and attempt higher vocabulary with identifiable target words, although errors may still occur. They apply punctuation, such as commas and quotation marks, effectively, enhancing readability and clarity in their writing."
English,English,Analytical Response - Film,12,Formative Rubric,School Marking Guide,2024,Writing structure,10%,Structure,G,D/D+,D/D+,D/D+,VCELF12-WRS-STR-04,4,"Organises paragraphs into a clear introduction, body paragraphs, and conclusion.","At this level, students demonstrate a basic understanding of textual analysis and writing skills. They are able to refer to key moments from the text and use evidence by directly quoting the text or referencing relevant moments. They can identify basic text features such as form and basic literary techniques. They organise paragraphs into a clear introduction, body paragraphs, and conclusion. They use basic transitional words and phrases to connect ideas. They attempt to maintain an appropriate tone in their writing, although this may still be inconsistent. Their syntax is characterised by basic sentences with limited variety, reflecting a developing command of sentence structure. Their word choice is limited, prioritising correct spelling, and they generally apply basic punctuation effectively, including capital letters and full stops."
English,English,Analytical Response - Film,12,Formative Rubric,School Marking Guide,2024,Writing structure,10%,Structure,G,E/E+,E/E+,E/E+,VCELF12-WRS-STR-05,5,Uses paragraphs,"At this level, students demonstrate limited proficiency in various aspects of textual analysis and writing. There is insufficient evidence of their understanding of the values, ideas, and concerns (VICs) of the text, as well as inadequate responses to the topic. Their use of evidence is characterised by gross inaccuracies in references or quotes. They can state the text type and outline main events and characters at a basic level without demonstrating deeper analysis. While they use paragraphs to organise their writing, cohesion is lacking. Grammatical errors significantly impact the clarity of their ideas, and they struggle with spelling, particularly with sight and high-frequency words."
