ModCode,Domain,SubDomain,TaskType,ModificationType,AtLevel,PriorityFocus,Description,Explanation,Sequence
AM-WRITE-P23,writing,paragraph_answers,specific,alternative,no,constructing,Dot points,"Depending on the purpose of the task, eliminating writing 'load' can still reveal enough of the student's understanding to warrant marking them at level IF the learning academic content is the priority.",23
AM-WRITE-P24,writing,paragraph_answers,specific,alternative,yes,content,Authentic Scribe (recording exactly what the student offers without information-based prompting),"Where structuring paragraphs is the priority, at level work must see the student demonstrating understanding of the basic premises of paragraphing by instructing support staff, editing typed work or through vocalising in a consciously structured way.",24
AM-WRITE-P25,writing,paragraph_answers,specific,alternative,no,content,Single word / short answer questions,"Where structuring paragraphs is the priority, at level work must see the student demonstrating understanding of the basic premises of paragraphing by instructing support staff, editing typed work or through vocalising in a consciously structured way.",25
AM-WRITE-P26,writing,paragraph_answers,specific,alternative,yes,constructing,"Scribe (supports the student in information gathering and scribes the information in words ONLY. Student then drives HOW the information is presented in terms of sentence order, spelling, grammar, punctuation etc)","Where structuring paragraphs is the priority, at level work must see the student demonstrating understanding of the basic premises of paragraphing by instructing support staff, editing typed work or through vocalising in a consciously structured way.",26
AM-WRITE-P27,writing,paragraph_answers,specific,alternative,no,constructing,"Scribe has influenced the structure of the writing  in terms of sentence order, spelling, grammar, punctuation etc)","Where structuring paragraphs is the priority, at level work must see the student demonstrating understanding of the basic premises of paragraphing by instructing support staff, editing typed work or through vocalising in a consciously structured way.",27
AM-WRITE-P28,writing,paragraph_answers,specific,alternative,yes,content,Talk to text (relies on clear speech & the ability to proofread),"Where structuring paragraphs is the priority, at level work must see the student demonstrating understanding of the basic premises of paragraphing by instructing support staff, editing typed work or through vocalising in a consciously structured way.",28
AM-WRITE-P29,writing,paragraph_answers,specific,alternative,no,content,Matching vocabulary to explanation,"Where structuring paragraphs is the priority, at level work must see the student demonstrating understanding of the basic premises of paragraphing by instructing support staff, editing typed work or through vocalising in a consciously structured way.",29
AM-WRITE-P30,writing,paragraph_answers,specific,alternative,yes,constructing,Talk to text (relies on clear speech & the ability to proofread),"Where structuring paragraphs is the priority, at level work must see the student demonstrating understanding of the basic premises of paragraphing by instructing support staff, editing typed work or through vocalising in a consciously structured way.",30
AM-WRITE-P31,writing,paragraph_answers,specific,alternative,no,content,Labelling diagram / image,"Where structuring paragraphs is the priority, at level work must see the student demonstrating understanding of the basic premises of paragraphing by instructing support staff, editing typed work or through vocalising in a consciously structured way.",31
AM-WRITE-P32,writing,paragraph_answers,specific,alternative,yes,content,"Scaffold documents that provide reminders such as 'topic sentence', 'evidence', 'explanation', 'linking sentence'.","Where structuring paragraphs is the priority, at level work must see the student demonstrating understanding of the basic premises of paragraphing by instructing support staff, editing typed work or through vocalising in a consciously structured way.",32
AM-WRITE-P33,writing,paragraph_answers,specific,alternative,no,content,Sorting sentences into correct order / paragraph structure,"Where structuring paragraphs is the priority, at level work must see the student demonstrating understanding of the basic premises of paragraphing by instructing support staff, editing typed work or through vocalising in a consciously structured way.",33
AM-WRITE-P34,writing,paragraph_answers,specific,alternative,no,content,Identifying information tha would or would not be appropriate in the paragraph,"Where structuring paragraphs is the priority, at level work must see the student demonstrating understanding of the basic premises of paragraphing by instructing support staff, editing typed work or through vocalising in a consciously structured way.",34
AM-WRITE-E35,writing,essay_writing,specific,alternative,yes,content,Speak response aloud & record. May be somewhat disjointed or out of order but provides the level of detail expected for an essay or extended response.,"Writing essays or extended responses requires understanding / interpretation of the prompt or question, recalling information or locating it in notes / research, phrasing or paraphasing ideas, application of the structural writing appropriate to paragraphs and the full essay / extended response format in the appropriate genre and the physical writing / typing (spelling, grammar, punctuation, letter formation etc).",35
AM-WRITE-E36,writing,essay_writing,specific,alternative,no,content,Single word / short answer / 1-2 paragraphs,"Writing essays or extended responses requires understanding / interpretation of the prompt or question, recalling information or locating it in notes / research, phrasing or paraphasing ideas, application of the structural writing appropriate to paragraphs and the full essay / extended response format in the appropriate genre and the physical writing / typing (spelling, grammar, punctuation, letter formation etc).",36
AM-WRITE-E37,writing,essay_writing,specific,alternative,yes,constructing,"Speak aloud & record. Should be in the structure expected for a written essay or extended response, show evidence of sentences / paragraphing AND provide the appropriate level of detail.","Writing essays or extended responses requires understanding / interpretation of the prompt or question, recalling information or locating it in notes / research, phrasing or paraphasing ideas, application of the structural writing appropriate to paragraphs and the full essay / extended response format in the appropriate genre and the physical writing / typing (spelling, grammar, punctuation, letter formation etc).",37
AM-WRITE-E38,writing,essay_writing,specific,alternative,no,constructing,"Speak aloud  CANNOT be used as evidence for AT LEVEL work for spelling, punctuation or handwriting/typing.","Writing essays or extended responses requires understanding / interpretation of the prompt or question, recalling information or locating it in notes / research, phrasing or paraphasing ideas, application of the structural writing appropriate to paragraphs and the full essay / extended response format in the appropriate genre and the physical writing / typing (spelling, grammar, punctuation, letter formation etc).",38
AM-WRITE-E39,writing,essay_writing,specific,alternative,yes,content,Dot points - that provide the level of detail expected for an essay or extended response.,"Depending on the purpose of the task, eliminating writing 'load' can still reveal enough of the student's understanding to warrant marking them at level IF the learning academic content is the priority.",39
AM-WRITE-E40,writing,essay_writing,specific,alternative,no,content,Multiple choice questions,"Depending on the purpose of the task, eliminating writing 'load' can still reveal enough of the student's understanding to warrant marking them at level IF the learning academic content is the priority.",40
AM-WRITE-E41,writing,essay_writing,specific,alternative,no,constructing,Dot points,"Depending on the purpose of the task, eliminating writing 'load' can still reveal enough of the student's understanding to warrant marking them at level IF the learning academic content is the priority.",41
AM-WRITE-E42,writing,essay_writing,specific,alternative,yes,content,Authentic Scribe (recording exactly what the student offers without information-based prompting),"Where structuring the essay / extended response is the priority, at level work must see the student demonstrating understanding of the basic premises of essay writing )including paragraphing) by instructing support staff, editing typed or recorded work or through vocalising in a consciously structured way.",42
AM-WRITE-E43,writing,essay_writing,specific,alternative,no,content,Single word / short answer questions,"Where structuring the essay / extended response is the priority, at level work must see the student demonstrating understanding of the basic premises of essay writing )including paragraphing) by instructing support staff, editing typed or recorded work or through vocalising in a consciously structured way.",43
AM-WRITE-E44,writing,essay_writing,specific,alternative,yes,constructing,"Scribe (supports the student in information gathering and scribes the information in words ONLY. Student then drives HOW the information is presented in terms of sentence order, spelling, grammar, punctuation, paragraphing etc)","Where structuring the essay / extended response is the priority, at level work must see the student demonstrating understanding of the basic premises of essay writing )including paragraphing) by instructing support staff, editing typed or recorded work or through vocalising in a consciously structured way.",44
AM-WRITE-E45,writing,essay_writing,specific,alternative,no,constructing,"Scribe has influenced the structure of the writing  in terms of sentence order, spelling, grammar, punctuation, paragraphing etc)","Where structuring the essay / extended response is the priority, at level work must see the student demonstrating understanding of the basic premises of essay writing )including paragraphing) by instructing support staff, editing typed or recorded work or through vocalising in a consciously structured way.",45
AM-WRITE-E46,writing,essay_writing,specific,alternative,yes,content,Talk to text (relies on clear speech & the ability to proofread),"Where structuring the essay / extended response is the priority, at level work must see the student demonstrating understanding of the basic premises of essay writing )including paragraphing) by instructing support staff, editing typed or recorded work or through vocalising in a consciously structured way.",46
AM-WRITE-E47,writing,essay_writing,specific,alternative,no,content,Matching vocabulary to explanation,"Where structuring the essay / extended response is the priority, at level work must see the student demonstrating understanding of the basic premises of essay writing )including paragraphing) by instructing support staff, editing typed or recorded work or through vocalising in a consciously structured way.",47
AM-WRITE-E48,writing,essay_writing,specific,alternative,yes,constructing,Talk to text (relies on clear speech & the ability to proofread),"Where structuring the essay / extended response is the priority, at level work must see the student demonstrating understanding of the basic premises of essay writing )including paragraphing) by instructing support staff, editing typed or recorded work or through vocalising in a consciously structured way.",48
AM-WRITE-E49,writing,essay_writing,specific,alternative,no,content,Labelling diagram / image,"Where structuring the essay / extended response is the priority, at level work must see the student demonstrating understanding of the basic premises of essay writing )including paragraphing) by instructing support staff, editing typed or recorded work or through vocalising in a consciously structured way.",49
AM-WRITE-E50,writing,essay_writing,specific,alternative,yes,content,"Scaffold documents that provide paragraph structure reminders such as 'topic sentence', 'evidence', 'explanation', 'linking sentence'","Where structuring the essay / extended response is the priority, at level work must see the student demonstrating understanding of the basic premises of essay writing )including paragraphing) by instructing support staff, editing typed or recorded work or through vocalising in a consciously structured way.",50
AM-WRITE-E51,writing,essay_writing,specific,alternative,no,content,Sorting sentences into correct order / paragraph structure or paragraphs into essay structure,"Where structuring the essay / extended response is the priority, at level work must see the student demonstrating understanding of the basic premises of essay writing )including paragraphing) by instructing support staff, editing typed or recorded work or through vocalising in a consciously structured way.",51
AM-WRITE-E52,writing,essay_writing,specific,alternative,yes,content,"Scaffold documents that provide genre specific structure reminders such as 'introduction', 'PEAL paragraph 1', 'comparitive analysis', 'conclusion'","Where structuring the essay / extended response is the priority, at level work must see the student demonstrating understanding of the basic premises of essay writing )including paragraphing) by instructing support staff, editing typed or recorded work or through vocalising in a consciously structured way.",52
AM-WRITE-E53,writing,essay_writing,specific,alternative,no,content,Identifying information that would or would not be appropriate in the paragraph,"Where structuring the essay / extended response is the priority, at level work must see the student demonstrating understanding of the basic premises of essay writing )including paragraphing) by instructing support staff, editing typed or recorded work or through vocalising in a consciously structured way.",53
AM-READ-G01,reading,general,general,alternative,,,"Listening to texts - read aloud, e-books,","Reading is a complex task, involving TECHNICAL SKILLS such as phonemic awareness (sounds), phonics (letter-sound connection) and fluency (smooth reading) as well as COMPREHENSION SKILLS  such as literal and inferential comprehension, broad vocabulary, making connections, understanding context and subtext and critical thinking, plus MONITORING SKILLS such as focus, attention and self-correction. Internal and external 'voice' add to comprehension and self-correction and give character, personality and tone to the reading experience.",54
AM-READ-G02,reading,general,general,support_academic,,,VISUAL / PICTORIAL vocabulary lists / word banks,"Reading is a complex task, involving TECHNICAL SKILLS such as phonemic awareness (sounds), phonics (letter-sound connection) and fluency (smooth reading) as well as COMPREHENSION SKILLS  such as literal and inferential comprehension, broad vocabulary, making connections, understanding context and subtext and critical thinking, plus MONITORING SKILLS such as focus, attention and self-correction. Internal and external 'voice' add to comprehension and self-correction and give character, personality and tone to the reading experience.",55
AM-READ-G03,reading,general,general,support_physical,,,Coloured reading strips or windows,"Reading is a complex task, involving TECHNICAL SKILLS such as phonemic awareness (sounds), phonics (letter-sound connection) and fluency (smooth reading) as well as COMPREHENSION SKILLS  such as literal and inferential comprehension, broad vocabulary, making connections, understanding context and subtext and critical thinking, plus MONITORING SKILLS such as focus, attention and self-correction. Internal and external 'voice' add to comprehension and self-correction and give character, personality and tone to the reading experience.",56
AM-READ-G04,reading,general,general,alternative,,,"Text to talk software, C-Pens",The ability to use these skills INDIVIDUALLY and then IN COMBINATION is what defines our academic growth as readers.,57
AM-READ-G05,reading,general,general,support_academic,,,"Labelled diagrams, charts, tables MAY reduce reading load (where these make sense to the individual student)",The ability to use these skills INDIVIDUALLY and then IN COMBINATION is what defines our academic growth as readers.,58
AM-READ-G06,reading,general,general,support_physical,,,adjusted / specific lighting to support focus or minimise reflective glare,The ability to use these skills INDIVIDUALLY and then IN COMBINATION is what defines our academic growth as readers.,59
AM-READ-G07,reading,general,general,support_academic,,,"Movies of focus texts, YouTube videos & explanations","For students who struggles with reading, the hurdle may lie in one or more of these skill development areas AND/OR in their mental or physical organisation skills, AND/ OR in juggling the mental load required to combine task requirements.",60
AM-READ-G08,reading,general,general,support_physical,,,"Specific fonts, font size, colour etc","For students who struggles with reading, the hurdle may lie in one or more of these skill development areas AND/OR in their mental or physical organisation skills, AND/ OR in juggling the mental load required to combine task requirements.",61
AM-READ-G09,reading,general,general,support_academic,,,Visual examples of content (pictures to support understanding),"Those with dyslexia  (Specific Learning Disorder for READING) struggle with decoding words, reading fluency, and spelling, stemming from challenges with phonological processing (matching sounds to letters) The impacts of these struggles flow into writing, Mathematics and many other curriculum areas,",62
AM-READ-G10,reading,general,general,support_physical,,,"Options for moving during reading to assist focus such as wobble stools, wobble cushion, chair bands, under desk pedal machine, fit ball replacing chair","Those with dyslexia  (Specific Learning Disorder for READING) struggle with decoding words, reading fluency, and spelling, stemming from challenges with phonological processing (matching sounds to letters) The impacts of these struggles flow into writing, Mathematics and many other curriculum areas,",63
AM-READ-G11,reading,general,general,support_academic,,,Extra time,"Those with dyslexia  (Specific Learning Disorder for READING) struggle with decoding words, reading fluency, and spelling, stemming from challenges with phonological processing (matching sounds to letters) The impacts of these struggles flow into writing, Mathematics and many other curriculum areas,",64
AM-READ-G12,reading,general,general,support_physical,,,Book supports - hold texts at an apropriate angle to negate physical issues with holding the book,"Those with dyslexia  (Specific Learning Disorder for READING) struggle with decoding words, reading fluency, and spelling, stemming from challenges with phonological processing (matching sounds to letters) The impacts of these struggles flow into writing, Mathematics and many other curriculum areas,",65
AM-READ-G13,reading,general,general,support_physical,,,"Alternate text types eg, Braille","Those with dyslexia  (Specific Learning Disorder for READING) struggle with decoding words, reading fluency, and spelling, stemming from challenges with phonological processing (matching sounds to letters) The impacts of these struggles flow into writing, Mathematics and many other curriculum areas,",66
AM-READ-G14,reading,general,general,support_physical,,,Rest / movement breaks,"Those with dyslexia  (Specific Learning Disorder for READING) struggle with decoding words, reading fluency, and spelling, stemming from challenges with phonological processing (matching sounds to letters) The impacts of these struggles flow into writing, Mathematics and many other curriculum areas,",67
AM-READ-T15,reading,technical_skills,specific,alternative,yes,,Meets curriculum standard with appropriate consistency,"Early Years, at Level is defined by curriculum",68
AM-READ-T16,reading,technical_skills,specific,alternative,no,,Does not meet curriculum standard. Needs extensive support to meet curriculum standard,"Early Years, at Level is defined by curriculum",69
AM-READ-L17,reading,literal_comprehension,specific,alternative,yes,,"Can 'read' (in whatever form is appropriate - see above) and understand the text in the context of being able to identify information within that text (""Show where it says...."")","Literal comprehension is about recall (remembering) and associating (connecting with something we already understand). It therefore relies on memory and recognition. It is understanding what the text explicitly (concretely, in black and white, on the page) says. Literal comprehension fits into levels 1 & 2 of the heirarchy of thinking skills (UNDERSTAND and REMEMBER) Often referred to as 'Reading WITHIN the lines'.",70
AM-READ-L18,reading,literal_comprehension,specific,alternative,no,,No understanding or mis-understanding of text appropriate to the academic level. Requires extensive support to make literal meaning from text.,"Literal comprehension is about recall (remembering) and associating (connecting with something we already understand). It therefore relies on memory and recognition. It is understanding what the text explicitly (concretely, in black and white, on the page) says. Literal comprehension fits into levels 1 & 2 of the heirarchy of thinking skills (UNDERSTAND and REMEMBER) Often referred to as 'Reading WITHIN the lines'.",71
AM-READ-I19,reading,inferential_comprehension,specific,alternative,yes,,Can use clues within the text to infer / realise / connect to / make understanding of and draw conclusions from the text. Has some understanding of figurative language. Has moved beyond literal ways of making meaning.,"Inferential comprehension is making connections and drawing conclusions based on clues and prior knowledge. It is relies on understanding context and subtext and brings into play literary features like sarcasm, similies, metaphors, idiom and analogy.  Inferential comprehension fits in level 3 of the heirarchy of thinking skills (APPLY) Often referred to as 'Reading BETWEEN the lines'.",72
AM-READ-I20,reading,inferential_comprehension,specific,alternative,no,,Has purely literal or no understanding of the text. Does not understand figurative language. Requires extensive support to 'join the dots'/make connections in order to make inferences.,"Inferential comprehension is making connections and drawing conclusions based on clues and prior knowledge. It is relies on understanding context and subtext and brings into play literary features like sarcasm, similies, metaphors, idiom and analogy.  Inferential comprehension fits in level 3 of the heirarchy of thinking skills (APPLY) Often referred to as 'Reading BETWEEN the lines'.",73
AM-READ-A21,reading,analytical_comprehension,specific,alternative,yes,,"Can combine evidence from the text with personal knowledge, further research and educated opinion to make judgements about that text. Can evalute structure, quality, relevance and content and justify this evaluation. Shows metalinguistic awareness (how language can be manipulated for effect)","Analytical comprehension is making judgements about a text and connecting it to personal experience. It involves analysing the author's craft for structure, quality,  content, effectiveness, voice, tone. engagement and forming opinions based on evidence, personal experience, and external criteria. It evaluates how the author has written the text and why it matters. Analytical comprehension fits in levels 4 & 5 of the heirarchy of thinking skills (ANALYSE & EVALUATE) Often referred to as 'Reading BEYOND the lines'.",74
AM-READ-A22,reading,analytical_comprehension,specific,alternative,no,,Demonstrates purely literal or inferential comprehension. Cannot evaluate or justify the evaluation of a text beyond stating an opinion. Has no metalinguistic awareness.,"Analytical comprehension is making judgements about a text and connecting it to personal experience. It involves analysing the author's craft for structure, quality,  content, effectiveness, voice, tone. engagement and forming opinions based on evidence, personal experience, and external criteria. It evaluates how the author has written the text and why it matters. Analytical comprehension fits in levels 4 & 5 of the heirarchy of thinking skills (ANALYSE & EVALUATE) Often referred to as 'Reading BEYOND the lines'.",75
AM-READ-M23,reading,monitoring_skills,specific,alternative,yes,,Positive intention / attempts to read,"Monitoring skills include focus, attention and self-correction as well as the internal organisation of progress tracking (where am I up to and what has happened so far?)",76
AM-READ-M24,reading,monitoring_skills,specific,alternative,no,,Refusal to use tools and strategies that support reading (underlying reasons for this need to be addressed),"Monitoring skills include focus, attention and self-correction as well as the internal organisation of progress tracking (where am I up to and what has happened so far?)",77
AM-READ-M25,reading,monitoring_skills,specific,alternative,yes,,Some minor lapses in concentration followed by re-focus,Monitoring crosses between skills-based and behavioural. It is crucial to distinguish between the two rather than assume that behaviour = skill.,78
AM-READ-M26,reading,monitoring_skills,specific,alternative,no,,Prioritising socialising over focus (may require social/behavioural intervention),Monitoring crosses between skills-based and behavioural. It is crucial to distinguish between the two rather than assume that behaviour = skill.,79
AM-READ-M27,reading,monitoring_skills,specific,alternative,yes,,"Re-reading sections of text (making meaning, clarifying, refocusing)","What is deemed 'appropriate' in terms of focus and attention is often categorised by chronological age/ year level,  but in the case of disability should be looked at in terms of developmental age/stage",80
AM-READ-M28,reading,monitoring_skills,specific,alternative,no,,Robotic/monotone reading or pretending to read when capable (question and address engagement/interest),"What is deemed 'appropriate' in terms of focus and attention is often categorised by chronological age/ year level,  but in the case of disability should be looked at in terms of developmental age/stage",81
AM-READ-M29,reading,monitoring_skills,specific,alternative,yes,,"Reading in ways that support focus for the individual (may include rocking, fidgeting, 'unusual' seating positions/lying down, using chair bands or under desk cycle machines.","Focus and attention are hugely impacted by diagnosis such as ADHD and ASD where sensory and physiological factors alter the experience of being. Where one student may be more focused when still, another may need to move in order to pay attention and remain focused.",82
AM-READ-M30,reading,monitoring_skills,specific,alternative,no,,Reading without comprehension (unless basic technical skills are the focus),"Focus and attention are hugely impacted by diagnosis such as ADHD and ASD where sensory and physiological factors alter the experience of being. Where one student may be more focused when still, another may need to move in order to pay attention and remain focused.",83
AM-READ-M31,reading,monitoring_skills,specific,alternative,yes,,Needing to clarifying meaning / vocabulary,It should be assumed that monitoring skills need explicit teaching. Some students will not require it but many will and may not have 'mastered' these skills in middle/senior years,84
AM-READ-M32,reading,monitoring_skills,specific,alternative,no,,No interest in clarifying/making meaning (may be a social/confidence concern. Ensure a variety of ways to ask questions are available),It should be assumed that monitoring skills need explicit teaching. Some students will not require it but many will and may not have 'mastered' these skills in middle/senior years,85
AM-READ-M33,reading,monitoring_skills,specific,alternative,yes,,Dynamic progress (not always consistently improving but generally making progress),"Concerns regarding ability to engage with different text types, genre, technical reading fall generally under the banner of 'comprehension'.",86
AM-READ-M34,reading,monitoring_skills,specific,alternative,no,,Ongoing lack of progress,"Concerns regarding ability to engage with different text types, genre, technical reading fall generally under the banner of 'comprehension'.",87
AM-READ-M35,reading,monitoring_skills,specific,alternative,yes,,Improved focus and skills with texts of interest and/or that are familiar,"Concerns regarding ability to engage with different text types, genre, technical reading fall generally under the banner of 'comprehension'.",88
AM-NUM-G01,numbers,manipulating_numbers,general,support_academic,,,Visual examples of content (pictures to support understanding),"Manipulating numbers is a complex task, involving NUMBER SENSE (what numbers mean, their relationships to each other, and their magnitudes). MENTAL ARITHMETIC & COMPUTATIONAL FLUENCY ( the ability to perform calculations ""in your head"" quickly and accurately). MATHEMATICAL OPERATIONS AND TECHNIQUES (dealing with parts of numbers, algebraic thinking, order of operations) DATA ANALYSIS AND LOGICAL REASONING (including patterns and statistics) MEASUREMENT AND SPATICAL SKILLS (geometry, unit conversion) PRACTICAL APPLICATION ( financial literacy and use of number tools such as calculators and spreadsheets)",89
