FrameworkCode,Type,Category,Modification,AtLevel,Explanation,ContentType,Sequence
DF-ACA-ADJ-05,adjustment,academic,Using checklists or sequencing visuals when knowing / remembering the sequence is what is being assessed.,FALSE,Adjustment - student works below grade level expectations,Strategy,5
DF-ACA-ACC-06,accommodation,academic,Extra time to complete tasks where processing speed is a concern or time is taken by other accommodations such as movement breaks,TRUE,Accommodation - student works at grade level with support,Strategy,6
DF-ACA-ADJ-06,adjustment,academic,"Extra time given where there is no other accommodation, where processing and working speed is not a concern and the task is timed for all students",FALSE,Adjustment - student works below grade level expectations,Strategy,6
DF-ACA-ACC-07,accommodation,academic,Providing vocabulary lists / glossary as a reference during learning,TRUE,Accommodation - student works at grade level with support,Strategy,7
DF-ACA-ADJ-07,adjustment,academic,Providing vocabulary lists / glossary as a reference during assessment where use of technical terms is being assessed,FALSE,Adjustment - student works below grade level expectations,Strategy,7
DF-ACA-ACC-08,accommodation,academic,"Alternative communication - Braille, Sign Language, second language translation etc",TRUE,Accommodation - student works at grade level with support,Strategy,8
DF-ACA-ACC-09,accommodation,academic,"Screen readers (C-Pen, text to talk software) and audio texts (Audible, audio books etc) or being read to where the skill of reading IS NOT being assessed",TRUE,Accommodation - student works at grade level with support,Strategy,9
DF-ACA-ADJ-08,adjustment,academic,"Screen readers, audio texts and being read to where the skill of reading IS being assessed",FALSE,Adjustment - student works below grade level expectations,Strategy,8
DF-ACA-ACC-10,accommodation,academic,"Class content posted in LMS (Learning Management System - eg Compass, Google Classroom, Seqta, Toddle) to support prior and post-lesson access",TRUE,Accommodation - student works at grade level with support,Strategy,10
DF-ACA-ACC-11,accommodation,academic,Alternate assessment options where the mode of assessment DOES NOT form part of the assessment e.g. Telling and pointing to the parts of a flower rather than writing labels on a picture,TRUE,Accommodation - student works at grade level with support,Strategy,11
DF-ACA-ADJ-09,adjustment,academic,"Alternate assessment options where the mode of assessment DOES form part of the assessment e.g. writing a speech rather than completing an oral presentation where tone, pace, volume etc are being assessed",FALSE,Adjustment - student works below grade level expectations,Strategy,9
DF-ACA-ACC-12,accommodation,academic,Breaking presentation of class materials or tasks into smaller (more manageable / less overwhelming) sections - known as 'chunking',TRUE,Accommodation - student works at grade level with support,Strategy,12
DF-ACA-ADJ-10,adjustment,academic,Simplifying class materials or tasks to facilitate 'point of need' teaching and learning (lower order thinking skills),FALSE,Adjustment - student works below grade level expectations,Strategy,10
DF-ACA-ACC-13,accommodation,academic,Using reverse thinking chains to scaffold steps prior to completing the actual task,TRUE,Accommodation - student works at grade level with support,Strategy,13
DF-ACA-ADJ-11,adjustment,academic,Using reverse thinking chains to change the task,FALSE,Adjustment - student works below grade level expectations,Strategy,11
DF-ACA-ACC-14,accommodation,academic,Lower output expectations where class / curriculum material at level IS STILL BEING addressed,TRUE,Accommodation - student works at grade level with support,Strategy,14
DF-ACA-ADJ-12,adjustment,academic,Lower output expectations resulting in some of the class / curriculum material at level NOT BEING addressed,FALSE,Adjustment - student works below grade level expectations,Strategy,12
DF-ACA-ACC-15,accommodation,academic,Physical support or exemption provided where student is unable to participate - e.g. watch and direct a science experiment where handling chemicals may be impossible or dangerous,TRUE,Accommodation - student works at grade level with support,Strategy,15
DF-ACA-ADJ-13,adjustment,academic,Where physical prowess is assessed such as in Sports and PE an exemption rather than poor performance record is appropriate,FALSE,Adjustment - student works below grade level expectations,Strategy,13
DF-ACA-ACC-16,accommodation,academic,"Visually altered class and assessment materials to support visual accessibility - larger font, greyscale images to counteract colour-blindness,  fewer objects / questions per page, use of specific fonts, line spacing considerations, coloured highlights to support dyslexia, specific response structures such tick boxes, lines to write on (or blank page depending on preference)",TRUE,Accommodation - student works at grade level with support,Strategy,16
DF-ACA-ACC-17,accommodation,academic,"Availability of different writing tools - pen, pencil, marker, hand grips, wrist supports etc",TRUE,Accommodation - student works at grade level with support,Strategy,17
DF-ENV-ACC-01,accommodation,environmental,Working in a separate space due to noise or social overwhelm,TRUE,Accommodation - student works at grade level with support,Strategy,1
DF-ENV-ACC-02,accommodation,environmental,Wearing noise cancelling headphones or sound modifying earbuds such as 'Loops' or 'Calmer - Flares',TRUE,Accommodation - student works at grade level with support,Strategy,2
DF-ENV-ACC-03,accommodation,environmental,Uniform exemption,TRUE,Accommodation - student works at grade level with support,Strategy,3
DF-ENV-ACC-04,accommodation,environmental,"Hearing aids, hearing loops etc",TRUE,Accommodation - student works at grade level with support,Strategy,4
DF-ENV-ACC-05,accommodation,environmental,"Writing aids such as slanted desks, whiteboards, pencil grips, tablets,",TRUE,Accommodation - student works at grade level with support,Strategy,5
DF-ENV-ACC-06,accommodation,environmental,"Speech aids such as communication boards, visual communication cards",TRUE,Accommodation - student works at grade level with support,Strategy,6
DF-ENV-ACC-07,accommodation,environmental,Any form of electronic communication device to counteract disability,TRUE,Accommodation - student works at grade level with support,Strategy,7
DF-ENV-ACC-08,accommodation,environmental,"Using a seating plan to accommodate predictability, teacher accessibility or sense of safety in the classroom",TRUE,Accommodation - student works at grade level with support,Strategy,8
DF-ENV-ACC-09,accommodation,environmental,Use of sit/stand desks,TRUE,Accommodation - student works at grade level with support,Strategy,9
DF-ENV-ACC-10,accommodation,environmental,"Having a support person close by to provide encouragement, support focus, facilitate movement breaks etc",TRUE,Accommodation - student works at grade level with support,Strategy,10
DF-ENV-ADJ-01,adjustment,environmental,Support person does some or all of the work essentially 'for' the student without student understanding or direction.,FALSE,Adjustment - student works below grade level expectations,Strategy,1
DF-BEH-ACC-01,accommodation,behavioural,Use of visual communication tools to seek support,TRUE,Accommodation - student works at grade level with support,Strategy,1
DF-BEH-ACC-02,accommodation,behavioural,Alternate seating arrangements (eg working on the floor or sitting in a chair whilst others are on the floor),TRUE,Accommodation - student works at grade level with support,Strategy,2
DF-BEH-ACC-03,accommodation,behavioural,Eating / drinking during class,TRUE,Accommodation - student works at grade level with support,Strategy,3
DF-BEH-ACC-04,accommodation,behavioural,Gum or sensory chew tools,TRUE,Accommodation - student works at grade level with support,Strategy,4
DF-BEH-ACC-05,accommodation,behavioural,Wobble cushions / stools / chairs,TRUE,Accommodation - student works at grade level with support,Strategy,5
DF-BEH-ACC-06,accommodation,behavioural,Brain breaks or movement breaks,TRUE,Accommodation - student works at grade level with support,Strategy,6
DF-BEH-ACC-07,accommodation,behavioural,Use of fidget tools,TRUE,Accommodation - student works at grade level with support,Strategy,7
DF-BEH-ACC-08,accommodation,behavioural,Group tasks to support processing via conversation where independent ideas ARE NOT being assessed,TRUE,Accommodation - student works at grade level with support,Strategy,8
DF-BEH-ADJ-01,adjustment,behavioural,Group tasks to support processing via conversation where independent ideas ARE being assessed may require specific tools to record individual contributions,FALSE,Adjustment - student works below grade level expectations,Strategy,1
DF-SCH-ACC-01,accommodation,scheduling,Scheduling to prioritise specific classes or times of day where a student cannot manage school on a full timetable,TRUE,Accommodation - student works at grade level with support,Strategy,1
DF-SCH-ADJ-01,adjustment,scheduling,Modified timetable rather than recorded absences are appropriate.,FALSE,Adjustment - student works below grade level expectations,Strategy,1
